vertex_a,vertex_b,edge
14683,17200,1
20845,11909,1
20845,11911,1
20845,12912,1
20845,12913,1
20845,12915,1
20845,208647,1
20845,208677,1
20845,231991,1
20845,26427,1
20845,78284,1
18747,104110,3
18747,104111,3
18747,11512,3
18747,11513,3
18747,11514,3
18747,11515,3
18747,210044,3
18747,224129,3
18747,432530,3
18749,104110,3
18749,104111,3
18749,11512,3
18749,11513,3
18749,11514,3
18749,11515,3
18749,210044,3
18749,224129,3
18749,432530,3
110115,11909,1
110115,11911,1
110115,12912,1
110115,12913,1
110115,12915,1
110115,208647,1
110115,208677,1
110115,231991,1
110115,26427,1
110115,78284,1
13072,11909,1
13072,11911,1
13072,12912,1
13072,12913,1
13072,12915,1
13072,208647,1
13072,208677,1
13072,231991,1
13072,26427,1
13072,78284,1
16526,18747,2
16526,18749,2
320024,11909,1
320024,11911,1
320024,12912,1
320024,12913,1
320024,12915,1
320024,208647,1
320024,208677,1
320024,231991,1
320024,26427,1
320024,78284,1
13074,11909,1
13074,11911,1
13074,12912,1
13074,12913,1
13074,12915,1
13074,208647,1
13074,208677,1
13074,231991,1
13074,26427,1
13074,78284,1
18976,11909,1
18976,11911,1
18976,12912,1
18976,12913,1
18976,12915,1
18976,208647,1
18976,208677,1
18976,231991,1
18976,26427,1
18976,78284,1
26423,18747,1
26423,18749,1
15370,18747,1
15370,18749,1
20683,18747,1
20683,18749,1
18514,18747,1
18514,18749,1
56637,13542,2
56637,13543,2
56637,13544,2
16842,11789,1
16842,23805,1
16842,12005,1
16842,12006,1
16842,12387,1
21414,11789,1
21414,23805,1
21414,12005,1
21414,12006,1
21414,12387,1
21415,11789,1
21415,23805,1
21415,12005,1
21415,12006,1
21415,12387,1
21416,11789,1
21416,23805,1
21416,12005,1
21416,12006,1
21416,12387,1
26413,13649,1
26417,13649,1
12921,12918,1
12922,12918,1
19416,14677,3
19416,14678,3
19416,14679,3
19645,12443,1
19645,12567,1
19645,12571,1
13555,19645,3
13557,19645,3
242705,19645,3
12566,12575,2
12447,12575,2
12448,12575,2
114230,11622,3
11632,11622,3
109905,18747,1
109905,18749,1
109905,108058,1
109905,12322,1
109905,12323,1
109905,12325,1
215449,18747,1
215449,18749,1
215449,108058,1
215449,12322,1
215449,12323,1
215449,12325,1
109880,109905,1
109880,215449,1
26395,109880,1
26396,109880,1
