vertex_a,vertex_b,edge
16772,13138,3
16773,13138,3
21924,21954,3
21956,21954,3
21956,21924,3
22003,21956,3
22004,21956,3
326618,21956,3
59069,21956,3
13405,13138,3
11464,21954,3
11464,22003,3
11464,22004,3
11464,326618,3
11464,59069,3
11461,16412,3
11461,16416,3
11461,16419,3
11461,16420,3
11461,16421,3
11461,192897,3
11461,320910,3
11461,13405,3
11465,16412,3
11465,16416,3
11465,16419,3
11465,16420,3
11465,16421,3
11465,192897,3
11465,320910,3
11465,13405,3
140781,11464,3
140781,17906,3
140781,17868,3
140781,17897,3
17888,11464,3
17888,17906,3
17888,17868,3
17888,17897,3
