vertex_a,vertex_b,edge,distance
16408,15894,3,0
16414,15894,3,0.00363636
16415,15894,3,0.00727272
16451,16185,1,0.0109091
16451,16186,1,0.0145454
16453,16185,1,0.0181818
16453,16186,1,0.0218182
20850,16451,1,0.0254545
20850,16453,1,0.0290909
20851,16451,1,0.0327272
20851,16453,1,0.0363636
12444,17869,1,0.04
15461,15894,1,0.0436363
15461,110196,1,0.0472727
16653,15894,1,0.050909
16653,110196,1,0.0545454
18176,15894,1,0.0581818
18176,110196,1,0.0618181
18747,104110,3,0.0654545
18747,104111,3,0.0690908
18747,11512,3,0.0727272
18747,11513,3,0.0763636
18747,11514,3,0.0799999
18747,11515,3,0.0836363
18747,210044,3,0.0872726
18747,224129,3,0.090909
18747,432530,3,0.0945454
18749,104110,3,0.0981817
18749,104111,3,0.101818
18749,11512,3,0.105454
18749,11513,3,0.109091
18749,11514,3,0.112727
18749,11515,3,0.116364
18749,210044,3,0.12
18749,224129,3,0.123636
18749,432530,3,0.127273
11909,18747,1,0.130909
11909,18749,1,0.134545
11911,18747,1,0.138182
11911,18749,1,0.141818
12912,18747,1,0.145454
12912,18749,1,0.149091
12913,18747,1,0.152727
12913,18749,1,0.156363
12915,18747,1,0.16
12915,18749,1,0.163636
208647,18747,1,0.167273
208647,18749,1,0.170909
208677,18747,1,0.174545
208677,18749,1,0.178182
231991,18747,1,0.181818
231991,18749,1,0.185454
26427,18747,1,0.189091
26427,18749,1,0.192727
78284,18747,1,0.196363
78284,18749,1,0.2
21812,21803,1,0.203636
21812,21808,1,0.207273
21812,21809,1,0.210909
21813,21803,1,0.214545
21813,21808,1,0.218182
21813,21809,1,0.221818
17126,21812,1,0.225454
17126,21813,1,0.229091
17127,21812,1,0.232727
17127,21813,1,0.236363
12442,17222,2,0.24
12442,217232,2,0.243636
12442,52206,2,0.247272
12442,52563,2,0.250909
12442,52717,2,0.254545
12442,56317,2,0.258182
12442,59008,2,0.261818
12442,66156,2,0.265454
12442,66440,2,0.269091
12442,68999,2,0.272727
12442,69010,2,0.276363
12442,69957,2,0.28
12442,75430,2,0.283636
12442,99152,2,0.287272
30939,17222,2,0.290909
30939,217232,2,0.294545
30939,52206,2,0.298182
30939,52563,2,0.301818
30939,52717,2,0.305454
30939,56317,2,0.309091
30939,59008,2,0.312727
30939,66156,2,0.316363
30939,66440,2,0.32
30939,68999,2,0.323636
30939,69010,2,0.327272
30939,69957,2,0.330909
30939,75430,2,0.334545
30939,99152,2,0.338181
21752,17869,1,0.341818
18035,18033,3,0.345454
18035,19697,3,0.349091
16183,18018,1,0.352727
16183,18019,1,0.356363
16183,18021,1,0.36
16183,73181,1,0.363636
16183,20850,1,0.367272
16183,20851,1,0.370909
16183,18033,1,0.374545
16183,19697,1,0.378181
16184,18033,1,0.381818
16184,19697,1,0.385454
16168,18033,1,0.389091
16168,19697,1,0.392727
16169,18033,1,0.396363
16169,19697,1,0.4
16193,18033,1,0.403636
16193,19697,1,0.407272
12981,18033,1,0.410909
12981,19697,1,0.414545
16992,18033,1,0.418181
16992,19697,1,0.421818
26401,21937,1,0.425454
26406,21937,1,0.42909
26406,16177,1,0.432727
26406,16178,1,0.436363
26406,12500,1,0.44
26406,12501,1,0.443636
26406,12502,1,0.447272
26398,26401,1,0.450909
26414,26398,1,0.454545
26419,26398,1,0.458181
26420,26398,1,0.461818
16476,12236,2,0.465454
16476,26414,1,0.46909
16476,26419,1,0.472727
16476,26420,1,0.476363
12048,18033,1,0.48
12048,19697,1,0.483636
12048,18034,1,0.487272
12048,19698,1,0.490909
11798,18033,1,0.494545
11798,19697,1,0.498181
11798,18034,1,0.501818
11798,19698,1,0.505454
11651,18706,3,0.50909
11651,18707,3,0.512727
11651,18708,3,0.516363
11651,18709,3,0.519999
11651,18710,3,0.523636
11651,74769,3,0.527272
11652,18706,3,0.530909
11652,18707,3,0.534545
11652,18708,3,0.538181
11652,18709,3,0.541818
11652,18710,3,0.545454
11652,74769,3,0.54909
23797,18706,3,0.552727
23797,18707,3,0.556363
23797,18708,3,0.559999
23797,18709,3,0.563636
23797,18710,3,0.567272
23797,74769,3,0.570909
12567,12578,2,0.574545
12567,12579,2,0.578181
12443,11909,1,0.581818
12443,11911,1,0.585454
12443,12912,1,0.58909
12443,12913,1,0.592727
12443,12915,1,0.596363
12443,208647,1,0.599999
12443,208677,1,0.603636
12443,231991,1,0.607272
12443,26427,1,0.610908
12443,78284,1,0.614545
12443,12578,2,0.618181
12443,12579,2,0.621818
