vertex_a,vertex_b,edge
11754,11670,3
11754,621603,3
11754,67689,3
11754,73458,3
11754,13195,3
237940,11670,3
237940,621603,3
237940,67689,3
237940,73458,3
237940,13195,3
109731,11670,3
109731,621603,3
109731,67689,3
109731,73458,3
109731,13195,3
109731,11754,3
109731,237940,3
17161,11670,3
17161,621603,3
17161,67689,3
17161,73458,3
17161,13195,3
17161,11754,3
17161,237940,3
14718,234724,3
14719,234724,3
76615,234724,3
17319,234724,3
17319,14718,3
17319,14719,3
17319,76615,3
100328588,234724,3
100328588,14718,3
100328588,14719,3
100328588,76615,3
100470,234724,3
100470,14718,3
100470,14719,3
100470,76615,3
14204,234724,3
14204,14718,3
14204,14719,3
14204,76615,3
73988,234724,3
73988,14718,3
73988,14719,3
73988,76615,3
18478,234724,3
18478,14718,3
18478,14719,3
18478,76615,3
