vertex_a,vertex_b,edge
18750,18795,3
18750,18796,3
18750,18797,3
18750,18798,3
18751,18795,3
18751,18796,3
18751,18797,3
18751,18798,3
18752,18795,3
18752,18796,3
18752,18797,3
18752,18798,3
16438,18795,3
16438,18796,3
16438,18797,3
16438,18798,3
16439,18795,3
16439,18796,3
16439,18797,3
16439,18798,3
16440,18795,3
16440,18796,3
16440,18797,3
16440,18798,3
81601,14816,3
81601,16438,3
81601,20238,2
81601,52335,2
19883,14816,3
19883,16438,3
22065,18750,2
22065,18751,2
22065,18752,2
22065,81601,3
22065,19883,3
26408,78943,1
26408,22030,1
26414,26408,1
26419,26408,1
26420,26408,1
22241,56717,2
29869,56717,2
52639,329015,3
52639,76559,3
74781,329015,3
74781,76559,3
56208,110616,3
56208,228361,1
74143,67013,1
11937,81601,3
11937,19883,3
11938,81601,3
11938,19883,3
53313,81601,3
53313,19883,3
80912,20238,3
80912,52335,3
80913,20238,3
80913,52335,3
13131,22359,3
18706,13131,1
18707,13131,1
18708,13131,1
18709,13131,1
18710,13131,1
74769,13131,1
11651,18706,1
11651,18707,1
11651,18708,1
11651,18709,1
11651,18710,1
11651,74769,1
11652,18706,1
11652,18707,1
11652,18708,1
11652,18709,1
11652,18710,1
11652,74769,1
23797,18706,1
23797,18707,1
23797,18708,1
23797,18709,1
23797,18710,1
23797,74769,1
20513,81601,3
20513,19883,3
19664,21374,2
19664,227606,2
19664,237336,2
19668,21374,2
19668,227606,2
19668,237336,2
20683,21374,2
20683,227606,2
20683,237336,2
229906,21374,2
229906,227606,2
229906,237336,2
18044,21374,2
18044,227606,2
18044,237336,2
22433,21374,3
22433,227606,3
22433,237336,3
17927,21374,3
17927,227606,3
17927,237336,3
19166,110616,2
19167,110616,2
19170,110616,2
19172,110616,2
19173,110616,2
19175,110616,2
19177,110616,2
26440,110616,2
26441,110616,2
26442,110616,2
26443,110616,2
26444,110616,2
26445,110616,2
26446,110616,2
73677,110616,2
17463,110616,2
19179,110616,2
19181,110616,2
19182,110616,2
19184,110616,2
19185,110616,2
20422,110616,2
21762,110616,2
22123,110616,2
23996,110616,2
23997,110616,2
56436,110616,2
57296,110616,2
59029,110616,2
66413,110616,2
66997,110616,2
67089,110616,2
67151,110616,2
69077,110616,2
70247,110616,2
