vertex_a,vertex_b,edge
12578,12567,3
12578,12443,3
17246,12578,3
22059,12575,3
22059,17246,2
19645,12567,1
19645,12443,1
19645,13555,3
19645,13557,3
19645,242705,3
12571,12578,3
12571,12575,2
11651,19211,3
11652,19211,3
23797,19211,3
18706,18176,1
18706,19211,3
18706,11651,3
18706,11652,3
18706,23797,3
18707,18176,1
18707,19211,3
18707,11651,3
18707,11652,3
18707,23797,3
18708,18176,1
18708,19211,3
18708,11651,3
18708,11652,3
18708,23797,3
18709,18176,1
18709,19211,3
18709,11651,3
18709,11652,3
18709,23797,3
18710,18176,1
18710,19211,3
18710,11651,3
18710,11652,3
18710,23797,3
74769,18176,1
74769,19211,3
74769,11651,3
74769,11652,3
74769,23797,3
26395,109880,1
26396,109880,1
110157,18176,1
11836,18176,1
15461,13649,1
15461,14182,1
15461,16001,1
15461,17295,1
15461,18595,1
15461,18596,1
16653,13649,1
16653,14182,1
16653,16001,1
16653,17295,1
16653,18595,1
16653,18596,1
13197,22059,3
17873,22059,3
23882,22059,3
12028,22059,3
12018,22059,3
107986,22059,3
27015,22059,3
