vertex_a,vertex_b,edge
20280,19013,1
20280,20181,1
20280,20182,1
20280,20183,1
113868,19013,1
113868,20181,1
113868,20182,1
113868,20183,1
235674,19013,1
235674,20181,1
235674,20182,1
235674,20183,1
11364,19013,1
11364,20181,1
11364,20182,1
11364,20183,1
11363,20181,1
11363,20182,1
11363,20183,1
11363,19015,1
100040843,19013,1
100040843,20181,1
100040843,20182,1
100040843,20183,1
13117,19013,1
13117,20181,1
13117,20182,1
13117,20183,1
13118,19013,1
13118,20181,1
13118,20182,1
13118,20183,1
13119,19013,1
13119,20181,1
13119,20182,1
13119,20183,1
230639,19013,1
230639,20181,1
230639,20182,1
230639,20183,1
277753,19013,1
277753,20181,1
277753,20182,1
277753,20183,1
435802,19013,1
435802,20181,1
435802,20182,1
435802,20183,1
666168,19013,1
666168,20181,1
666168,20182,1
666168,20183,1
74147,19013,1
74147,20181,1
74147,20182,1
74147,20183,1
12896,19013,1
12896,20181,1
12896,20182,1
12896,20183,1
12894,19013,1
12894,20181,1
12894,20182,1
12894,20183,1
12894,19015,1
12894,19016,1
12895,19013,1
12895,20181,1
12895,20182,1
12895,20183,1
12895,19015,1
12895,19016,1
78070,19013,1
78070,20181,1
78070,20182,1
78070,20183,1
78070,19015,1
78070,19016,1
14081,19013,1
14081,20181,1
14081,20182,1
14081,20183,1
14081,19016,1
216739,19013,1
216739,20181,1
216739,20182,1
216739,20183,1
216739,19016,1
328845,19013,1
328845,20181,1
328845,20182,1
328845,20183,1
328845,19016,1
433256,19013,1
433256,20181,1
433256,20182,1
433256,20183,1
433256,19016,1
50790,19013,1
50790,20181,1
50790,20182,1
50790,20183,1
50790,19016,1
74205,19013,1
74205,20181,1
74205,20182,1
74205,20183,1
74205,19016,1
78625,19013,1
78625,20181,1
78625,20182,1
78625,20183,1
78625,19016,1
94180,19013,1
94180,20181,1
94180,20182,1
94180,20183,1
94180,19016,1
108078,20181,1
108078,20182,1
108078,20183,1
108078,19016,1
16956,19013,1
16956,20181,1
16956,20182,1
16956,20183,1
16956,19015,1
16956,19016,1
13122,19013,1
13122,20181,1
13122,20182,1
13122,20183,1
15360,19013,1
15360,20181,1
15360,20182,1
15360,20183,1
208715,19013,1
208715,20181,1
208715,20182,1
208715,20183,1
20411,20181,1
20411,20182,1
20411,20183,1
20411,19016,1
83995,20181,1
83995,20182,1
83995,20183,1
83995,19016,1
83996,20181,1
83996,20182,1
83996,20183,1
83996,19016,1
57875,19013,1
57875,20181,1
57875,20182,1
57875,20183,1
57875,19015,1
57875,19016,1
11430,19013,1
11430,20181,1
11430,20182,1
11430,20183,1
11430,19015,1
80911,19013,1
80911,20181,1
80911,20182,1
80911,20183,1
80911,19015,1
93732,19013,1
93732,20181,1
93732,20182,1
93732,20183,1
93732,19015,1
16202,20181,1
16202,20182,1
16202,20183,1
16202,19015,1
18607,20181,1
18607,20182,1
18607,20183,1
18607,19015,1
11807,19013,1
11807,20181,1
11807,20182,1
11807,20183,1
18830,19013,1
18830,20181,1
18830,20182,1
18830,20183,1
11450,20181,1
11450,20182,1
11450,20183,1
11450,19016,1
20249,19013,1
20249,20181,1
20249,20182,1
20249,20183,1
20249,19016,1
20250,19013,1
20250,20181,1
20250,20182,1
20250,20183,1
20250,19016,1
30049,19013,1
30049,20181,1
30049,20182,1
30049,20183,1
30049,19016,1
329065,19013,1
329065,20181,1
329065,20182,1
329065,20183,1
329065,19016,1
56473,19013,1
56473,20181,1
56473,20182,1
56473,20183,1
11814,19013,1
11814,20181,1
11814,20182,1
11814,20183,1
13124,19013,1
13124,20181,1
13124,20182,1
13124,20183,1
22259,19013,1
22259,20181,1
22259,20182,1
22259,20183,1
22259,19016,1
104086,20181,1
104086,20182,1
104086,20183,1
104086,19016,1
11806,19013,1
11806,20181,1
11806,20182,1
11806,20183,1
22190,20181,1
22190,20182,1
22190,20183,1
22190,19015,1
13167,19013,1
13167,20181,1
13167,20182,1
13167,20183,1
13168,19013,1
13168,20181,1
13168,20182,1
13168,20183,1
66113,19013,1
66113,20181,1
66113,20182,1
66113,20183,1
109264,19013,1
109264,20181,1
109264,20182,1
109264,20183,1
17436,19013,1
17436,20181,1
17436,20182,1
17436,20183,1
22227,19013,1
22227,20181,1
22227,20182,1
22227,20183,1
22227,19015,1
22227,19016,1
