vertex_a,vertex_b,edge,distance
109785,56174,3,0
107652,109785,3,0.012987
227620,109785,3,0.025974
50798,107652,3,0.038961
50798,227620,3,0.051948
94181,50798,3,0.064935
67311,94181,3,0.077922
245847,56174,3,0.090909
245847,109785,3,0.103896
14583,26384,3,0.116883
14583,67980,3,0.12987
14584,26384,3,0.142857
14584,67980,3,0.155844
54342,245847,3,0.168831
54342,14583,3,0.181818
54342,14584,3,0.194805
19703,50798,3,0.207792
74091,94181,3,0.220779
74091,67311,3,0.233766
12764,94181,3,0.246753
12764,67311,3,0.25974
12763,94181,3,0.272727
12763,67311,3,0.285714
12763,12764,3,0.298701
109754,12763,3,0.311688
230582,12763,3,0.324675
266690,12763,3,0.337662
320635,12763,3,0.350649
72017,12763,3,0.363636
74246,14430,3,0.376623
22235,74246,3,0.38961
67883,22235,3,0.402597
110119,26384,3,0.415584
110119,67980,3,0.428571
110119,15275,3,0.441558
110119,15277,3,0.454545
110119,212032,3,0.467532
110119,216019,3,0.480519
29858,15275,3,0.493506
29858,15277,3,0.506493
29858,212032,3,0.51948
29858,216019,3,0.532467
29858,110119,3,0.545454
54128,15275,3,0.558441
54128,15277,3,0.571428
54128,212032,3,0.584415
54128,216019,3,0.597402
54128,110119,3,0.610389
66681,15275,3,0.623376
66681,15277,3,0.636363
66681,212032,3,0.64935
66681,216019,3,0.662337
72157,15275,3,0.675324
72157,15277,3,0.688311
72157,212032,3,0.701298
72157,216019,3,0.714285
331026,29858,3,0.727272
331026,54128,3,0.740259
69080,29858,3,0.753246
69080,54128,3,0.766233
218138,331026,3,0.77922
218138,69080,3,0.792207
22122,75540,3,0.805194
22122,218138,3,0.818181
14751,26384,3,0.831168
14751,67980,3,0.844155
14751,15275,3,0.857142
14751,15277,3,0.870129
14751,212032,3,0.883116
14751,216019,3,0.896103
14751,110119,3,0.90909
14751,66681,3,0.922077
14751,72157,3,0.935064
216558,74246,3,0.948051
216558,66681,3,0.961038
216558,72157,3,0.974025
