vertex_a,vertex_b,edge
70974,18605,3
70974,209558,3
216558,18605,3
216558,209558,3
14936,216558,3
232493,216558,3
27357,216558,3
66681,15275,3
66681,15277,3
66681,212032,3
66681,216019,3
66681,18605,3
66681,209558,3
72157,15275,3
72157,15277,3
72157,212032,3
72157,216019,3
72157,18605,3
72157,209558,3
14377,15275,3
14377,15277,3
14377,212032,3
14377,216019,3
14377,66681,3
14377,72157,3
14378,15275,3
14378,15277,3
14378,212032,3
14378,216019,3
14378,66681,3
14378,72157,3
68401,15275,3
68401,15277,3
68401,212032,3
68401,216019,3
68401,66681,3
68401,72157,3
103988,14377,3
103988,14378,3
103988,68401,3
14751,15275,3
14751,15277,3
14751,212032,3
14751,216019,3
14751,66681,3
14751,72157,3
14751,103988,3
74185,14936,3
74185,232493,3
74185,27357,3
100043684,74185,3
100043686,74185,3
100043688,74185,3
109959,74185,3
11722,74185,3
545562,74185,3
110078,74185,3
110095,74185,3
19309,74185,3
77559,74185,3
