vertex_a,vertex_b,edge,distance
56274,211652,1,0
56274,18016,1,0.00201613
56274,319710,1,0.00403226
16798,56274,1,0.00604839
50523,56274,1,0.00806452
241324,170788,3,0.0100807
14219,22601,1,0.0120968
14219,97064,1,0.0141129
11799,22601,1,0.016129
11799,97064,1,0.0181452
11839,22601,1,0.0201613
11839,97064,1,0.0221774
22627,22601,3,0.0241936
22627,97064,3,0.0262097
22627,12385,1,0.0282258
22627,12386,1,0.030242
22627,216033,1,0.0322581
22628,22601,3,0.0342742
22628,97064,3,0.0362903
22628,12385,1,0.0383065
22628,12386,1,0.0403226
22628,216033,1,0.0423387
22629,22601,3,0.0443549
22629,97064,3,0.046371
22629,12385,1,0.0483871
22629,12386,1,0.0504033
22629,216033,1,0.0524194
22630,22601,3,0.0544355
22630,97064,3,0.0564516
22630,12385,1,0.0584678
22630,12386,1,0.0604839
22630,216033,1,0.0625
22631,22601,3,0.0645162
22631,97064,3,0.0665323
22631,12385,1,0.0685484
22631,12386,1,0.0705646
22631,216033,1,0.0725807
54401,22601,3,0.0745968
54401,97064,3,0.0766129
54401,12385,1,0.0786291
54401,12386,1,0.0806452
54401,216033,1,0.0826613
232157,56274,1,0.0846775
68473,56274,1,0.0866936
27494,22601,3,0.0887097
27494,97064,3,0.0907259
56217,27494,3,0.092742
12695,56217,3,0.0947581
56513,93742,3,0.0967742
58220,93742,3,0.0987904
93737,93742,3,0.100807
18759,56513,3,0.102823
18759,58220,3,0.104839
18759,93737,3,0.106855
18762,56513,3,0.108871
18762,58220,3,0.110887
18762,93737,3,0.112903
17126,22601,2,0.114919
17127,22601,2,0.116936
104318,97064,2,0.118952
104318,22627,2,0.120968
104318,22628,2,0.122984
104318,22629,2,0.125
104318,22630,2,0.127016
104318,22631,2,0.129032
104318,54401,2,0.131048
27373,97064,2,0.133065
27373,22627,2,0.135081
27373,22628,2,0.137097
27373,22629,2,0.139113
27373,22630,2,0.141129
27373,22631,2,0.143145
27373,54401,2,0.145161
16414,22601,1,0.147177
16414,97064,1,0.149194
16415,22601,1,0.15121
16415,97064,1,0.153226
21812,22601,2,0.155242
21812,21803,1,0.157258
21812,21808,1,0.159274
21812,21809,1,0.16129
21813,22601,2,0.163307
21813,21803,1,0.165323
21813,21808,1,0.167339
21813,21809,1,0.169355
17128,17126,3,0.171371
17128,17127,3,0.173387
17131,22601,1,0.175403
17131,97064,1,0.177419
17131,17126,1,0.179436
17131,17127,1,0.181452
17131,17128,1,0.183468
18787,22601,1,0.185484
18787,97064,1,0.1875
18787,17126,1,0.189516
18787,17127,1,0.191532
18787,17128,1,0.193548
14362,20890,1,0.195565
14362,216795,1,0.197581
14362,22408,1,0.199597
14362,22409,1,0.201613
14362,22410,1,0.203629
14362,22411,1,0.205645
14362,22412,1,0.207661
14362,22413,1,0.209678
14362,22414,1,0.211694
14362,22415,1,0.21371
14362,22416,1,0.215726
14362,22417,1,0.217742
14362,22418,1,0.219758
14362,22419,1,0.221774
14362,22420,1,0.22379
14362,22421,1,0.225807
14362,22422,1,0.227823
14362,22423,1,0.229839
14362,93735,1,0.231855
14365,20890,1,0.233871
14365,216795,1,0.235887
14365,22408,1,0.237903
14365,22409,1,0.239919
14365,22410,1,0.241936
14365,22411,1,0.243952
14365,22412,1,0.245968
14365,22413,1,0.247984
14365,22414,1,0.25
14365,22415,1,0.252016
14365,22416,1,0.254032
14365,22417,1,0.256049
14365,22418,1,0.258065
14365,22419,1,0.260081
14365,22420,1,0.262097
14365,22421,1,0.264113
14365,22422,1,0.266129
14365,22423,1,0.268145
14365,93735,1,0.270161
14366,20890,1,0.272178
14366,216795,1,0.274194
14366,22408,1,0.27621
14366,22409,1,0.278226
14366,22410,1,0.280242
14366,22411,1,0.282258
14366,22412,1,0.284274
14366,22413,1,0.28629
14366,22414,1,0.288307
14366,22415,1,0.290323
14366,22416,1,0.292339
14366,22417,1,0.294355
14366,22418,1,0.296371
14366,22419,1,0.298387
14366,22420,1,0.300403
14366,22421,1,0.30242
14366,22422,1,0.304436
14366,22423,1,0.306452
14366,93735,1,0.308468
14367,20890,1,0.310484
14367,216795,1,0.3125
14367,22408,1,0.314516
14367,22409,1,0.316532
14367,22410,1,0.318549
14367,22411,1,0.320565
14367,22412,1,0.322581
14367,22413,1,0.324597
14367,22414,1,0.326613
14367,22415,1,0.328629
14367,22416,1,0.330645
14367,22417,1,0.332661
14367,22418,1,0.334678
14367,22419,1,0.336694
14367,22420,1,0.33871
14367,22421,1,0.340726
14367,22422,1,0.342742
14367,22423,1,0.344758
14367,93735,1,0.346774
14368,20890,1,0.34879
14368,216795,1,0.350807
14368,22408,1,0.352823
14368,22409,1,0.354839
