vertex_a,vertex_b,edge,distance
22059,11920,1,0
12371,11796,2,0.00671141
12371,11797,2,0.0134228
12371,11798,2,0.0201342
12371,11799,2,0.0268456
12369,11796,2,0.033557
12369,11797,2,0.0402685
12369,11798,2,0.0469799
12369,11799,2,0.0536913
12369,12371,1,0.0604027
12367,11796,2,0.0671141
12367,11797,2,0.0738255
12367,11798,2,0.0805369
12367,11799,2,0.0872483
12367,12371,1,0.0939597
12368,12371,1,0.100671
18035,18033,3,0.107383
18035,19697,3,0.114094
11783,22059,1,0.120805
13063,11783,3,0.127517
13067,11783,3,0.134228
12122,22059,1,0.14094
12675,11651,1,0.147651
12675,11652,1,0.154362
12675,23797,1,0.161074
12675,53859,1,0.167785
16150,11651,1,0.174497
16150,11652,1,0.181208
16150,23797,1,0.187919
16150,53859,1,0.194631
16151,11651,1,0.201342
16151,11652,1,0.208054
16151,23797,1,0.214765
16151,53859,1,0.221477
12633,18033,1,0.228188
12633,19697,1,0.234899
22030,18033,1,0.241611
22030,19697,1,0.248322
21933,22059,1,0.255034
14102,22059,1,0.261745
20739,12367,2,0.268456
20740,12367,2,0.275168
16905,12368,2,0.281879
16906,12368,2,0.288591
16907,12368,2,0.295302
11545,12371,2,0.302013
11545,12369,2,0.308725
11545,12367,2,0.315436
11546,12371,2,0.322148
11546,12369,2,0.328859
11546,12367,2,0.33557
235587,12371,2,0.342282
235587,12369,2,0.348993
235587,12367,2,0.355705
328417,12371,2,0.362416
328417,12369,2,0.369128
328417,12367,2,0.375839
12028,12048,2,0.38255
12028,22059,1,0.389262
12028,12043,2,0.395973
12018,12048,2,0.402685
12018,22059,1,0.409396
12018,12043,2,0.416107
58801,22059,1,0.422819
170770,22059,1,0.42953
12364,12333,1,0.436242
12364,12334,1,0.442953
19249,18033,1,0.449664
19249,19697,1,0.456376
13197,18033,1,0.463087
13197,19697,1,0.469799
17873,18033,1,0.47651
17873,19697,1,0.483222
23882,18033,1,0.489933
23882,19697,1,0.496644
12044,18033,1,0.503356
12044,19697,1,0.510067
12045,18033,1,0.516779
12045,19697,1,0.52349
12046,18033,1,0.530201
12046,19697,1,0.536913
12047,18033,1,0.543624
12047,19697,1,0.550336
22029,18033,1,0.557047
22029,19697,1,0.563758
13163,14102,1,0.57047
26408,22030,1,0.577181
26408,78943,1,0.583893
26408,13163,1,0.590604
26414,26408,1,0.597315
26419,26408,1,0.604027
26420,26408,1,0.610738
69601,22030,1,0.61745
16476,26414,1,0.624161
16476,26419,1,0.630873
16476,26420,1,0.637584
14281,26414,1,0.644295
14281,26419,1,0.651007
14281,26420,1,0.657718
12125,16476,1,0.66443
12125,14281,1,0.671141
13665,13666,1,0.677852
11911,13665,1,0.684564
18607,18706,3,0.691275
18607,18707,3,0.697987
18607,18708,3,0.704698
18607,18709,3,0.711409
18607,18710,3,0.718121
18607,74769,3,0.724832
57913,22059,1,0.731544
11461,12369,2,0.738255
11461,12367,2,0.744967
11461,12368,2,0.751678
11465,12369,2,0.758389
11465,12367,2,0.765101
11465,12368,2,0.771812
22142,14939,2,0.778524
22143,14939,2,0.785235
22144,14939,2,0.791946
22145,14939,2,0.798658
22146,14939,2,0.805369
22147,14939,2,0.812081
238463,14939,2,0.818792
53857,14939,2,0.825503
17210,14939,2,0.832215
12123,16476,1,0.838926
12123,14281,1,0.845638
15461,12983,1,0.852349
15461,12984,1,0.85906
15461,16188,1,0.865772
15461,18211,1,0.872483
16653,12983,1,0.879195
16653,12984,1,0.885906
16653,16188,1,0.892618
16653,18211,1,0.899329
18176,12983,1,0.90604
18176,12984,1,0.912752
18176,16188,1,0.919463
18176,18211,1,0.926175
110157,15461,1,0.932886
110157,16653,1,0.939597
110157,18176,1,0.946309
26395,110157,1,0.95302
26396,110157,1,0.959732
26413,26395,1,0.966443
26413,26396,1,0.973154
26417,26395,1,0.979866
26417,26396,1,0.986577
