vertex_a,vertex_b,edge,distance
14784,13649,1,0
11651,18607,1,0.00819672
11652,18607,1,0.0163934
23797,18607,1,0.0245902
18706,13649,1,0.0327869
18707,13649,1,0.0409836
18708,13649,1,0.0491803
18709,13649,1,0.057377
18710,13649,1,0.0655738
74769,13649,1,0.0737705
109880,15461,1,0.0819672
109880,16653,1,0.0901639
109880,18176,1,0.0983606
110157,15461,1,0.106557
110157,16653,1,0.114754
110157,18176,1,0.122951
11836,15461,1,0.131148
11836,16653,1,0.139344
11836,18176,1,0.147541
19211,18706,3,0.155738
19211,18707,3,0.163934
19211,18708,3,0.172131
19211,18709,3,0.180328
19211,18710,3,0.188525
19211,74769,3,0.196721
56484,11651,2,0.204918
56484,11652,2,0.213115
56484,23797,2,0.221311
20779,11431,2,0.229508
20779,19247,2,0.237705
20779,19271,2,0.245902
14083,11431,2,0.254098
14083,19247,2,0.262295
14083,19271,2,0.270492
14281,26413,1,0.278688
14281,26417,1,0.286885
14281,26414,1,0.295082
14281,26419,1,0.303279
14281,26420,1,0.311475
16476,26413,1,0.319672
16476,26417,1,0.327869
16476,26414,1,0.336066
16476,26419,1,0.344262
16476,26420,1,0.352459
19094,15461,1,0.360656
19094,16653,1,0.368852
19094,18176,1,0.377049
19094,26408,1,0.385246
26415,15461,1,0.393443
26415,16653,1,0.401639
26415,18176,1,0.409836
26415,26408,1,0.418033
26416,15461,1,0.426229
26416,16653,1,0.434426
26416,18176,1,0.442623
26416,26408,1,0.45082
29857,15461,1,0.459016
29857,16653,1,0.467213
29857,18176,1,0.47541
29857,26408,1,0.483606
26398,26408,1,0.491803
26400,26408,1,0.5
12675,101540,1,0.508197
12675,18760,1,0.516393
12675,75292,1,0.52459
16150,101540,1,0.532787
16150,18760,1,0.540984
16150,75292,1,0.54918
16151,101540,1,0.557377
16151,18760,1,0.565574
16151,75292,1,0.57377
19353,18706,1,0.581967
19353,18707,1,0.590164
19353,18708,1,0.598361
19353,18709,1,0.606557
19353,18710,1,0.614754
19353,74769,1,0.622951
22339,15251,1,0.631147
13078,13076,3,0.639344
12359,20655,3,0.647541
12015,11651,2,0.655738
12015,11652,2,0.663934
12015,23797,2,0.672131
237038,19353,1,0.680328
13849,58810,3,0.688524
13849,13076,3,0.696721
13849,13078,3,0.704918
13850,58810,3,0.713115
13850,13076,3,0.721311
13850,13078,3,0.729508
384214,58810,3,0.737705
384214,13076,3,0.745902
384214,13078,3,0.754098
71932,58810,3,0.762295
71932,13076,3,0.770492
71932,13078,3,0.778688
76113,13076,3,0.786885
76113,13078,3,0.795082
100042295,57344,3,0.803279
100042314,57344,3,0.811475
103140,57344,3,0.819672
14857,57344,3,0.827869
14858,57344,3,0.836065
14859,57344,3,0.844262
14860,57344,3,0.852459
14862,57344,3,0.860656
14863,57344,3,0.868852
14864,57344,3,0.877049
14865,57344,3,0.885246
14866,57344,3,0.893442
14867,57344,3,0.901639
14871,57344,3,0.909836
14872,57344,3,0.918033
14873,57344,3,0.926229
211666,57344,3,0.934426
56615,57344,3,0.942623
66447,57344,3,0.95082
68214,57344,3,0.959016
68312,57344,3,0.967213
75886,57344,3,0.97541
15368,18024,1,0.983606
