vertex_a,vertex_b,edge
16000,16009,2
12370,21933,3
12534,13197,2
12534,17873,2
12534,23882,2
12534,55948,2
13063,20437,3
13063,20438,3
13063,12122,3
13067,20437,3
13067,20438,3
13067,12122,3
12371,11783,1
12371,13063,1
12371,13067,1
17246,17248,1
17246,12578,2
22059,17248,2
22059,12649,1
22059,245000,1
22059,50883,1
22059,11920,1
68098,22059,1
12567,12575,2
12571,12575,2
12443,12575,2
12444,12575,2
12445,12575,2
64058,22059,1
66940,22059,1
140742,22059,1
230784,22059,1
75747,22059,1
12442,13197,2
12442,17873,2
12442,23882,2
12442,55948,2
268697,13197,2
268697,17873,2
268697,23882,2
268697,55948,2
12367,12370,1
12367,12371,1
58801,22059,1
30954,22059,1
12048,30954,2
12043,30954,2
71361,22059,1
