vertex_a,vertex_b,edge
14362,20890,1
14362,216795,1
14362,22408,1
14362,22409,1
14362,22410,1
14362,22411,1
14362,22412,1
14362,22413,1
14362,22414,1
14362,22415,1
14362,22416,1
14362,22417,1
14362,22418,1
14362,22419,1
14362,22420,1
14362,22421,1
14362,22422,1
14362,22423,1
14362,93735,1
14365,20890,1
14365,216795,1
14365,22408,1
14365,22409,1
14365,22410,1
14365,22411,1
14365,22412,1
14365,22413,1
14365,22414,1
14365,22415,1
14365,22416,1
14365,22417,1
14365,22418,1
14365,22419,1
14365,22420,1
14365,22421,1
14365,22422,1
14365,22423,1
14365,93735,1
14366,20890,1
14366,216795,1
14366,22408,1
14366,22409,1
14366,22410,1
14366,22411,1
14366,22412,1
14366,22413,1
14366,22414,1
14366,22415,1
14366,22416,1
14366,22417,1
14366,22418,1
14366,22419,1
14366,22420,1
14366,22421,1
14366,22422,1
14366,22423,1
14366,93735,1
14367,20890,1
14367,216795,1
14367,22408,1
14367,22409,1
14367,22410,1
14367,22411,1
14367,22412,1
14367,22413,1
14367,22414,1
14367,22415,1
14367,22416,1
14367,22417,1
14367,22418,1
14367,22419,1
14367,22420,1
14367,22421,1
14367,22422,1
14367,22423,1
14367,93735,1
14368,20890,1
14368,216795,1
14368,22408,1
14368,22409,1
14368,22410,1
14368,22411,1
14368,22412,1
14368,22413,1
14368,22414,1
14368,22415,1
14368,22416,1
14368,22417,1
14368,22418,1
14368,22419,1
14368,22420,1
14368,22421,1
14368,22422,1
14368,22423,1
14368,93735,1
14369,20890,1
14369,216795,1
14369,22408,1
14369,22409,1
14369,22410,1
14369,22411,1
14369,22412,1
14369,22413,1
14369,22414,1
14369,22415,1
14369,22416,1
14369,22417,1
14369,22418,1
14369,22419,1
14369,22420,1
14369,22421,1
14369,22422,1
14369,22423,1
14369,93735,1
14370,20890,1
14370,216795,1
14370,22408,1
14370,22409,1
14370,22410,1
14370,22411,1
14370,22412,1
14370,22413,1
14370,22414,1
14370,22415,1
14370,22416,1
14370,22417,1
14370,22418,1
14370,22419,1
14370,22420,1
14370,22421,1
14370,22422,1
14370,22423,1
14370,93735,1
14371,20890,1
14371,216795,1
14371,22408,1
14371,22409,1
14371,22410,1
14371,22411,1
14371,22412,1
14371,22413,1
14371,22414,1
14371,22415,1
14371,22416,1
14371,22417,1
14371,22418,1
14371,22419,1
14371,22420,1
14371,22421,1
14371,22422,1
14371,22423,1
14371,93735,1
57265,20890,1
57265,216795,1
57265,22408,1
57265,22409,1
57265,22410,1
57265,22411,1
57265,22412,1
57265,22413,1
57265,22414,1
57265,22415,1
57265,22416,1
57265,22417,1
57265,22418,1
57265,22419,1
57265,22420,1
57265,22421,1
57265,22422,1
57265,22423,1
57265,93735,1
93897,20890,1
93897,216795,1
93897,22408,1
93897,22409,1
93897,22410,1
93897,22411,1
93897,22412,1
93897,22413,1
93897,22414,1
93897,22415,1
93897,22416,1
93897,22417,1
93897,22418,1
93897,22419,1
93897,22420,1
93897,22421,1
93897,22422,1
93897,22423,1
93897,93735,1
56637,13542,2
56637,13543,2
56637,13544,2
21414,11789,1
21414,23805,1
21414,12005,1
21414,12006,1
21414,12387,1
16195,16878,1
16880,16878,1
16451,16195,1
16451,16880,1
16452,16195,1
16452,16880,1
16453,16195,1
16453,16880,1
20848,16451,1
20848,16452,1
20848,16453,1
16600,20848,1
18706,16195,1
18706,16880,1
18707,16195,1
18707,16880,1
18708,16195,1
18708,16880,1
18709,16195,1
18709,16880,1
18710,16195,1
18710,16880,1
74769,16195,1
74769,16880,1
11651,18706,1
11651,18707,1
11651,18708,1
11651,18709,1
11651,18710,1
11651,74769,1
11652,18706,1
11652,18707,1
11652,18708,1
11652,18709,1
11652,18710,1
11652,74769,1
23797,18706,1
23797,18707,1
23797,18708,1
23797,18709,1
23797,18710,1
23797,74769,1
14784,16195,1
14784,16880,1
11479,16323,1
11479,16324,1
11479,16325,1
11479,16326,1
11480,16323,1
11480,16324,1
11480,16325,1
11480,16326,1
11481,16323,1
11481,16324,1
11481,16325,1
11481,16326,1
269275,16323,1
269275,16324,1
269275,16325,1
269275,16326,1
17126,11479,1
17126,11480,1
17126,11481,1
17126,269275,1
17127,11479,1
17127,11480,1
17127,11481,1
17127,269275,1
11477,12159,1
12166,12159,1
12167,12159,1
12168,12159,1
26413,11477,2
26413,12166,2
26413,12167,2
26413,12168,2
26417,11477,2
26417,12166,2
26417,12167,2
26417,12168,2
71950,21386,1
18999,71950,1
20674,16600,1
20674,18999,1
110157,15461,1
110157,16653,1
110157,18176,1
26395,14784,1
26395,110157,1
26396,14784,1
26396,110157,1
14182,14173,1
14183,14173,1
14184,14173,1
14186,14173,1
16001,16000,1
17125,11477,1
17125,12166,1
17125,12167,1
17125,12168,1
17129,11477,1
17129,12166,1
17129,12167,1
17129,12168,1
55994,11477,1
55994,12166,1
55994,12167,1
55994,12168,1
19094,11477,2
19094,12166,2
19094,12167,2
19094,12168,2
26415,11477,2
26415,12166,2
26415,12167,2
26415,12168,2
26416,11477,2
26416,12166,2
26416,12167,2
26416,12168,2
29857,11477,2
29857,12166,2
29857,12167,2
29857,12168,2
17128,17126,3
17128,17127,3
17128,17125,3
17128,17129,3
17128,55994,3
17869,56637,2
17869,20848,1
15901,17125,1
15901,17129,1
15901,55994,1
15902,17125,1
15902,17129,1
15902,55994,1
15903,17125,1
15903,17129,1
15903,55994,1
15904,17125,1
15904,17129,1
15904,55994,1
21423,12387,2
75590,17125,1
75590,17129,1
75590,55994,1
