vertex_a,vertex_b,edge,distance
19664,15182,2,0
19664,433759,2,0.0123457
19664,66935,2,0.0246914
19664,102638837,2,0.0370371
19664,114606,2,0.0493828
19664,21885,2,0.0617285
19664,21886,2,0.0740742
19664,21887,2,0.0864199
19664,21888,2,0.0987656
19664,13016,2,0.111111
19664,13017,2,0.123457
19664,20602,2,0.135803
19668,15182,2,0.148148
19668,433759,2,0.160494
19668,66935,2,0.17284
19668,102638837,2,0.185186
19668,114606,2,0.197531
19668,21885,2,0.209877
19668,21886,2,0.222223
19668,21887,2,0.234568
19668,21888,2,0.246914
19668,13016,2,0.25926
19668,13017,2,0.271605
19668,20602,2,0.283951
66354,19664,3,0.296297
66354,19668,3,0.308642
18128,59287,1,0.320988
18128,208117,1,0.333334
18128,226548,1,0.34568
18128,68318,1,0.358025
18128,19164,1,0.370371
18128,19165,1,0.382717
18128,11491,1,0.395062
18128,66340,1,0.407408
18128,18222,2,0.419754
18128,18223,2,0.432099
18128,16449,2,0.444445
18128,16450,2,0.456791
18129,59287,1,0.469137
18129,208117,1,0.481482
18129,226548,1,0.493828
18129,68318,1,0.506174
18129,19164,1,0.518519
18129,19165,1,0.530865
18129,11491,1,0.543211
18129,66340,1,0.555557
18129,18222,2,0.567902
18129,18223,2,0.580248
18129,16449,2,0.592594
18129,16450,2,0.604939
18131,59287,1,0.617285
18131,208117,1,0.629631
18131,226548,1,0.641976
18131,68318,1,0.654322
18131,19164,1,0.666668
18131,19165,1,0.679013
18131,11491,1,0.691359
18131,66340,1,0.703705
18131,18222,2,0.716051
18131,18223,2,0.728396
18131,16449,2,0.740742
18131,16450,2,0.753088
18132,59287,1,0.765433
18132,208117,1,0.777779
18132,226548,1,0.790125
18132,68318,1,0.80247
18132,19164,1,0.814816
18132,19165,1,0.827162
18132,11491,1,0.839508
18132,66340,1,0.851853
18132,18222,2,0.864199
18132,18223,2,0.876545
18132,16449,2,0.88889
18132,16450,2,0.901236
15213,19664,1,0.913582
15213,19668,1,0.925927
15214,19664,1,0.938273
15214,19668,1,0.950619
56198,19664,1,0.962965
56198,19668,1,0.97531
