vertex_a,vertex_b,edge
15182,12394,1
15182,14013,1
433759,12394,1
433759,14013,1
13016,12394,1
13016,14013,1
13017,12394,1
13017,14013,1
17869,110279,3
17869,11350,3
21813,21803,1
21813,21808,1
21813,21809,1
21812,21803,1
21812,21808,1
21812,21809,1
20850,110279,1
20850,11350,1
20851,110279,1
20851,11350,1
18035,18033,3
18035,19697,3
12578,17246,3
12575,22059,3
14784,110279,1
14784,11350,1
20416,110279,1
20416,11350,1
20418,110279,1
20418,11350,1
216148,110279,1
216148,11350,1
271849,110279,1
271849,11350,1
14389,14784,1
12928,110279,1
12928,11350,1
12929,110279,1
12929,11350,1
12402,110279,1
12402,11350,1
19645,13555,3
19645,13557,3
19645,242705,3
17127,21813,1
17127,21812,1
17127,17128,3
12567,12578,3
12567,12575,2
12571,12578,3
12571,12575,2
12443,12578,3
12443,12575,2
18706,14389,1
18706,12928,1
18706,12929,1
18706,12402,1
18706,11651,3
18706,11652,3
18706,23797,3
18707,14389,1
18707,12928,1
18707,12929,1
18707,12402,1
18707,11651,3
18707,11652,3
18707,23797,3
18708,14389,1
18708,12928,1
18708,12929,1
18708,12402,1
18708,11651,3
18708,11652,3
18708,23797,3
18709,14389,1
18709,12928,1
18709,12929,1
18709,12402,1
18709,11651,3
18709,11652,3
18709,23797,3
18710,14389,1
18710,12928,1
18710,12929,1
18710,12402,1
18710,11651,3
18710,11652,3
18710,23797,3
74769,14389,1
74769,12928,1
74769,12929,1
74769,12402,1
74769,11651,3
74769,11652,3
74769,23797,3
15461,20662,1
15461,20663,1
16653,20662,1
16653,20663,1
18176,20662,1
18176,20663,1
13197,22059,3
17873,22059,3
23882,22059,3
12028,22059,3
12018,22059,3
107986,22059,3
27015,22059,3
