vertex_a,vertex_b,edge,distance
18795,12313,3,0
18795,12314,3,0.00990099
18795,12315,3,0.019802
18795,494124,3,0.029703
18795,70405,3,0.039604
18795,75600,3,0.0495049
18795,80796,3,0.0594059
18795,14677,1,0.0693069
18795,14678,1,0.0792079
18795,14679,1,0.0891089
18795,14681,1,0.0990099
18796,12313,3,0.108911
18796,12314,3,0.118812
18796,12315,3,0.128713
18796,494124,3,0.138614
18796,70405,3,0.148515
18796,75600,3,0.158416
18796,80796,3,0.168317
18796,14677,1,0.178218
18796,14678,1,0.188119
18796,14679,1,0.19802
18796,14681,1,0.207921
18797,12313,3,0.217822
18797,12314,3,0.227723
18797,12315,3,0.237624
18797,494124,3,0.247525
18797,70405,3,0.257426
18797,75600,3,0.267327
18797,80796,3,0.277228
18797,14677,1,0.287129
18797,14678,1,0.29703
18797,14679,1,0.306931
18797,14681,1,0.316832
18798,12313,3,0.326733
18798,12314,3,0.336634
18798,12315,3,0.346535
18798,494124,3,0.356436
18798,70405,3,0.366337
18798,75600,3,0.376238
18798,80796,3,0.386139
18798,14677,1,0.39604
18798,14678,1,0.405941
18798,14679,1,0.415842
18798,14681,1,0.425743
12914,18747,1,0.435644
12914,18749,1,0.445545
328572,18747,1,0.455446
328572,18749,1,0.465347
18751,18795,3,0.475248
18751,18796,3,0.485149
18751,18797,3,0.49505
18751,18798,3,0.50495
12912,18747,1,0.514851
12912,18749,1,0.524752
12913,18747,1,0.534653
12913,18749,1,0.544554
208647,18747,1,0.554455
208647,18749,1,0.564356
208677,18747,1,0.574257
208677,18749,1,0.584158
26427,18747,1,0.594059
26427,18749,1,0.60396
78284,18747,1,0.613861
78284,18749,1,0.623762
104110,14683,1,0.633663
104111,14683,1,0.643564
11512,14683,1,0.653465
11513,14683,1,0.663366
11514,14683,1,0.673267
11515,14683,1,0.683168
210044,14683,1,0.693069
224129,14683,1,0.70297
432530,14683,1,0.712871
18750,18795,3,0.722772
18750,18796,3,0.732673
18750,18797,3,0.742574
18750,18798,3,0.752475
18752,18795,3,0.762376
18752,18796,3,0.772277
18752,18797,3,0.782178
18752,18798,3,0.792079
56637,13542,2,0.80198
56637,13543,2,0.811881
56637,13544,2,0.821782
12387,56637,2,0.831683
14682,14362,1,0.841584
14682,14365,1,0.851485
14682,14366,1,0.861386
14682,14367,1,0.871287
14682,14368,1,0.881188
14682,14369,1,0.891089
14682,14370,1,0.90099
14682,14371,1,0.910891
14682,57265,1,0.920792
14682,93897,1,0.930693
17199,50518,2,0.940594
17199,18976,1,0.950495
15461,16590,1,0.960396
16653,16590,1,0.970297
18176,16590,1,0.980198
