vertex_a,vertex_b,edge
14281,19094,1
14281,26415,1
14281,26416,1
14281,29857,1
16476,19094,1
16476,26415,1
16476,26416,1
16476,29857,1
20293,14281,1
20293,16476,1
20296,14281,1
20296,16476,1
18024,50868,3
16598,17258,1
16598,17260,1
18104,18024,1
18104,16598,1
11477,12159,1
11480,12159,1
11481,12159,1
12166,12159,1
12167,12159,1
12168,12159,1
15368,18024,1
15368,16598,1
100042295,18024,1
100042295,16598,1
100042314,18024,1
100042314,16598,1
103140,18024,1
103140,16598,1
14857,18024,1
14857,16598,1
14858,18024,1
14858,16598,1
14859,18024,1
14859,16598,1
14860,18024,1
14860,16598,1
14862,18024,1
14862,16598,1
14863,18024,1
14863,16598,1
14864,18024,1
14864,16598,1
14865,18024,1
14865,16598,1
14866,18024,1
14866,16598,1
14867,18024,1
14867,16598,1
14869,18024,1
14869,16598,1
14870,18024,1
14870,16598,1
14871,18024,1
14871,16598,1
14872,18024,1
14872,16598,1
14873,18024,1
14873,16598,1
211666,18024,1
211666,16598,1
225884,18024,1
225884,16598,1
56615,18024,1
56615,16598,1
66447,18024,1
66447,16598,1
68214,18024,1
68214,16598,1
68312,18024,1
68312,16598,1
75886,18024,1
75886,16598,1
22166,18024,1
22166,16598,1
56551,18024,1
56551,16598,1
18412,18024,1
18412,16598,1
18127,11651,1
18127,11652,1
18127,23797,1
18127,18024,1
18127,16598,1
18159,18024,1
18159,16598,1
11898,18024,1
11898,16598,1
21824,18024,1
21824,16598,1
18791,18024,1
18791,16598,1
17390,14281,1
17390,16476,1
17395,14281,1
17395,16476,1
13039,14281,1
13039,16476,1
20339,14281,1
20339,16476,1
21926,14281,1
21926,16476,1
16175,14281,1
16175,16476,1
16176,14281,1
16176,16476,1
15978,14281,1
15978,16476,1
18590,14281,1
18590,16476,1
18591,14281,1
18591,16476,1
13614,14281,1
13614,16476,1
22339,14281,1
22339,16476,1
16399,18706,1
16399,18707,1
16399,18708,1
16399,18709,1
16399,18710,1
16399,74769,1
16410,18706,1
16410,18707,1
16410,18708,1
16410,18709,1
16410,18710,1
16410,74769,1
16410,12562,1
16410,18613,1
16410,16542,1
16416,18706,1
16416,18707,1
16416,18708,1
16416,18709,1
16416,18710,1
16416,74769,1
16416,12562,1
16416,18613,1
16416,16542,1
20779,16399,1
20779,16410,1
20779,16416,1
14083,20779,1
22059,18762,1
101056240,18762,1
101056240,22059,3
102640040,18762,1
102640040,22059,3
170930,18762,1
170930,22059,3
20610,18762,1
20610,22059,3
22218,18762,1
22218,22059,3
59004,18762,3
12043,22059,2
105787,12562,1
105787,16542,1
105787,12387,1
108079,12562,1
108079,16542,1
108079,12387,1
26409,21937,1
26409,16177,1
26409,16178,1
12675,26409,1
16150,26409,1
16151,26409,1
18033,16598,3
18033,16410,1
18033,16416,1
18033,12675,1
18033,16150,1
18033,16151,1
19697,16598,3
19697,16410,1
19697,16416,1
19697,12675,1
19697,16150,1
19697,16151,1
19252,18024,1
16800,14083,1
