vertex_a,vertex_b,edge,distance
16337,16333,1,0
16337,16334,1,0.00429185
18607,18706,3,0.0085837
18607,18707,3,0.0128755
18607,18708,3,0.0171674
18607,18709,3,0.0214592
18607,18710,3,0.0257511
18607,74769,3,0.0300429
16367,16337,1,0.0343348
16369,16337,1,0.0386266
16370,16337,1,0.0429185
384783,16337,1,0.0472103
16001,16000,1,0.0515022
56484,56458,3,0.055794
19017,105787,1,0.0600859
19017,108079,1,0.0643777
19017,108097,1,0.0686696
19017,108099,1,0.0729614
19017,19079,1,0.0772533
19017,19082,1,0.0815451
19017,241113,1,0.085837
207565,68465,3,0.0901288
207565,72674,3,0.0944207
107476,105787,2,0.0987125
107476,108079,2,0.103004
107476,108097,2,0.107296
107476,108099,2,0.111588
107476,19079,2,0.11588
107476,19082,2,0.120172
107476,241113,2,0.124464
170768,105787,1,0.128755
170768,108079,1,0.133047
170768,108097,1,0.137339
170768,108099,1,0.141631
170768,19079,1,0.145923
170768,19082,1,0.150215
170768,241113,1,0.154507
18639,105787,1,0.158798
18639,108079,1,0.16309
18639,108097,1,0.167382
18639,108099,1,0.171674
18639,19079,1,0.175966
18639,19082,1,0.180258
18639,241113,1,0.18455
18640,105787,1,0.188841
18640,108079,1,0.193133
18640,108097,1,0.197425
18640,108099,1,0.201717
18640,19079,1,0.206009
18640,19082,1,0.210301
18640,241113,1,0.214592
270198,105787,1,0.218884
270198,108079,1,0.223176
270198,108097,1,0.227468
270198,108099,1,0.23176
270198,19079,1,0.236052
270198,19082,1,0.240344
270198,241113,1,0.244635
22084,105787,1,0.248927
22084,108079,1,0.253219
22084,108097,1,0.257511
22084,108099,1,0.261803
22084,19079,1,0.266095
22084,19082,1,0.270387
22084,241113,1,0.274678
22084,11651,2,0.27897
22084,11652,2,0.283262
22084,23797,2,0.287554
56717,105787,2,0.291846
56717,108079,2,0.296138
56717,108097,2,0.30043
56717,108099,2,0.304721
56717,19079,2,0.309013
56717,19082,2,0.313305
56717,241113,2,0.317597
67605,105787,2,0.321889
67605,108079,2,0.326181
67605,108097,2,0.330472
67605,108099,2,0.334764
67605,19079,2,0.339056
67605,19082,2,0.343348
67605,241113,2,0.34764
74370,105787,2,0.351932
74370,108079,2,0.356224
74370,108097,2,0.360515
74370,108099,2,0.364807
74370,19079,2,0.369099
74370,19082,2,0.373391
74370,241113,2,0.377683
14936,105787,2,0.381975
14936,108079,2,0.386266
14936,108097,2,0.390558
14936,108099,2,0.39485
14936,19079,2,0.399142
14936,19082,2,0.403434
14936,241113,2,0.407726
232493,105787,2,0.412018
232493,108079,2,0.416309
232493,108097,2,0.420601
232493,108099,2,0.424893
232493,19079,2,0.429185
232493,19082,2,0.433477
232493,241113,2,0.437769
18534,15378,1,0.442061
74551,15378,1,0.446352
14377,15378,1,0.450644
14378,15378,1,0.454936
68401,15378,1,0.459228
20787,105787,2,0.46352
20787,108079,2,0.467812
20787,108097,2,0.472104
20787,108099,2,0.476395
20787,19079,2,0.480687
20787,19082,2,0.484979
20787,241113,2,0.489271
14104,20787,1,0.493563
20249,20787,1,0.497855
20250,20787,1,0.502146
30049,20787,1,0.506438
329065,20787,1,0.51073
13631,105787,1,0.515022
13631,108079,1,0.519314
13631,108097,1,0.523606
13631,108099,1,0.527898
13631,19079,1,0.532189
13631,19082,1,0.536481
13631,241113,1,0.540773
13629,13631,2,0.545065
58988,56717,1,0.549357
58988,67605,1,0.553649
58988,74370,1,0.55794
72508,56717,1,0.562232
72508,67605,1,0.566524
72508,74370,1,0.570816
13685,56717,2,0.575108
13685,67605,2,0.5794
13685,74370,2,0.583692
19016,56717,1,0.587983
19016,67605,1,0.592275
19016,74370,1,0.596567
100705,105787,2,0.600859
100705,108079,2,0.605151
100705,108097,2,0.609443
100705,108099,2,0.613735
100705,19079,2,0.618026
100705,19082,2,0.622318
100705,241113,2,0.62661
74343,105787,2,0.630902
74343,108079,2,0.635194
74343,108097,2,0.639486
74343,108099,2,0.643778
74343,19079,2,0.648069
74343,19082,2,0.652361
74343,241113,2,0.656653
57915,105787,2,0.660945
57915,108079,2,0.665237
57915,108097,2,0.669529
57915,108099,2,0.67382
57915,19079,2,0.678112
57915,19082,2,0.682404
57915,241113,2,0.686696
15568,105787,2,0.690988
15568,108079,2,0.69528
15568,108097,2,0.699572
15568,108099,2,0.703863
15568,19079,2,0.708155
15568,19082,2,0.712447
15568,241113,2,0.716739
12443,15568,1,0.721031
12427,15568,1,0.725323
12428,15568,1,0.729614
16890,105787,2,0.733906
16890,108079,2,0.738198
16890,108097,2,0.74249
16890,108099,2,0.746782
16890,19079,2,0.751074
16890,19082,2,0.755366
16890,241113,2,0.759657
15357,105787,2,0.763949
15357,108079,2,0.768241
15357,108097,2,0.772533
15357,108099,2,0.776825
15357,19079,2,0.781117
15357,19082,2,0.785409
15357,241113,2,0.7897
12491,105787,1,0.793992
12491,108079,1,0.798284
12491,108097,1,0.802576
12491,108099,1,0.806868
12491,19079,1,0.81116
12491,19082,1,0.815451
12491,241113,1,0.819743
12638,105787,2,0.824035
12638,108079,2,0.828327
12638,108097,2,0.832619
12638,108099,2,0.836911
12638,19079,2,0.841203
12638,19082,2,0.845494
12638,241113,2,0.849786
17274,57915,2,0.854078
19325,57915,2,0.85837
19326,57915,2,0.862662
59021,57915,2,0.866954
68365,57915,2,0.871246
19744,22084,2,0.875537
64930,105787,1,0.879829
64930,108079,1,0.884121
64930,108097,1,0.888413
64930,108099,1,0.892705
64930,19079,1,0.896997
64930,19082,1,0.901288
64930,241113,1,0.90558
64930,11651,2,0.909872
64930,11652,2,0.914164
64930,23797,2,0.918456
56690,105787,1,0.922748
56690,108079,1,0.92704
56690,108097,1,0.931331
56690,108099,1,0.935623
56690,19079,1,0.939915
56690,19082,1,0.944207
56690,241113,1,0.948499
12912,74343,3,0.952791
12913,74343,3,0.957083
208647,74343,3,0.961374
208677,74343,3,0.965666
231991,74343,3,0.969958
26427,74343,3,0.97425
78284,74343,3,0.978542
22241,56717,2,0.982834
22241,67605,2,0.987125
22241,74370,2,0.991417
