vertex_a,vertex_b,edge,distance
18033,18035,3,0
18033,18036,3,0.0126582
18033,18037,3,0.0253164
19697,18035,3,0.0379746
19697,18036,3,0.0506328
19697,18037,3,0.063291
18706,11651,3,0.0759492
18706,11652,3,0.0886074
18706,23797,3,0.101266
18707,11651,3,0.113924
18707,11652,3,0.126582
18707,23797,3,0.13924
18708,11651,3,0.151898
18708,11652,3,0.164557
18708,23797,3,0.177215
18709,11651,3,0.189873
18709,11652,3,0.202531
18709,23797,3,0.215189
18710,11651,3,0.227848
18710,11652,3,0.240506
18710,23797,3,0.253164
74769,11651,3,0.265822
74769,11652,3,0.27848
74769,23797,3,0.291139
14130,16331,3,0.303797
14130,16332,3,0.316455
240168,18751,3,0.329113
170758,22324,1,0.341771
170758,22325,1,0.35443
170758,57257,1,0.367088
19353,22324,1,0.379746
19353,22325,1,0.392404
19353,57257,1,0.405062
19354,22324,1,0.417721
19354,22325,1,0.430379
19354,57257,1,0.443037
234779,18751,3,0.455695
234779,240168,3,0.468353
17060,22324,3,0.481012
17060,22325,3,0.49367
17060,57257,3,0.506328
17060,234779,3,0.518986
12229,17060,3,0.531644
15985,17096,3,0.544303
12518,17096,3,0.556961
20963,17096,3,0.569619
12517,15170,3,0.582277
12483,15170,3,0.594935
100038909,15170,3,0.607594
100041146,15170,3,0.620252
14728,15170,3,0.63291
18722,15170,3,0.645568
18724,15170,3,0.658226
18725,15170,3,0.670885
18726,15170,3,0.683543
18727,15170,3,0.696201
18729,15170,3,0.708859
18730,15170,3,0.721517
18733,15170,3,0.734176
232801,15170,3,0.746834
26413,26395,1,0.759492
26413,26396,1,0.77215
26417,26395,1,0.784808
26417,26396,1,0.797467
110157,15461,1,0.810125
110157,16653,1,0.822783
110157,18176,1,0.835441
14784,17060,3,0.848099
14784,20662,3,0.860758
14784,20663,3,0.873416
83490,18706,3,0.886074
83490,18707,3,0.898732
83490,18708,3,0.91139
83490,18709,3,0.924049
83490,18710,3,0.936707
83490,74769,3,0.949365
83490,20963,1,0.962023
26377,17096,1,0.974681
