vertex_a,vertex_b,edge
21937,21926,1
71609,21937,1
22030,71609,3
22033,71609,3
16451,15975,1
16451,15976,1
16451,15979,1
16451,15980,1
16452,15975,1
16452,15976,1
16452,15979,1
16452,15980,1
16453,15975,1
16453,15976,1
16453,15979,1
16453,15980,1
54721,15975,1
54721,15976,1
54721,15979,1
54721,15980,1
11796,22030,3
11796,22033,3
11797,22030,3
11797,22033,3
11798,22030,3
11798,22033,3
74256,12370,2
58800,74568,1
19766,71609,3
19766,21933,1
19766,11796,2
19766,11797,2
19766,11798,2
19766,12370,2
19766,74256,1
14082,14102,1
14082,12370,3
14084,14102,1
14084,14082,3
56532,12370,2
56532,19766,1
56532,21929,2
106759,142980,1
106025,22030,3
106025,22033,3
106025,11796,3
106025,11797,3
106025,11798,3
24105,22030,3
24105,22033,3
24105,11796,3
24105,11797,3
24105,11798,3
268749,22030,3
268749,22033,3
268749,11796,3
268749,11797,3
268749,11798,3
225471,21898,1
20846,16451,1
20846,16452,1
20846,16453,1
20846,54721,1
20846,16391,3
20847,16451,1
20847,16452,1
20847,16453,1
20847,54721,1
20847,16391,3
20848,16451,1
20848,16452,1
20848,16453,1
20848,54721,1
20848,16391,3
20849,16451,1
20849,16452,1
20849,16453,1
20849,54721,1
20849,16391,3
20850,16451,1
20850,16452,1
20850,16453,1
20850,54721,1
20850,16391,3
20851,16451,1
20851,16452,1
20851,16453,1
20851,54721,1
20851,16391,3
20852,16451,1
20852,16452,1
20852,16453,1
20852,54721,1
20852,16391,3
263876,106025,3
263876,24105,3
263876,268749,3
78779,106025,3
78779,24105,3
78779,268749,3
110078,56532,1
110095,56532,1
19309,56532,1
14645,56532,1
14661,56532,1
11739,19766,2
11740,19766,2
73333,19766,2
20597,56532,1
72542,74568,1
74006,72542,1
216799,74568,1
66824,216799,3
12362,216799,3
26414,56532,1
26419,56532,1
26420,56532,1
14319,26414,2
14319,26419,2
14319,26420,2
14325,26414,2
14325,26419,2
14325,26420,2
12333,56532,3
12334,56532,3
12122,12333,1
12122,12334,1
26926,100039319,3
26926,100042840,3
26926,100042922,3
26926,100042927,3
26926,100042929,3
26926,100042931,3
26926,100042939,3
26926,100042943,3
26926,100042944,3
26926,100042946,3
26926,15267,3
26926,15270,3
26926,232440,3
26926,236663,3
26926,26914,3
26926,319162,3
26926,319163,3
26926,319164,3
26926,319165,3
26926,319166,3
26926,319167,3
26926,319168,3
26926,319169,3
26926,319170,3
26926,319171,3
26926,319172,3
26926,319173,3
26926,319176,3
26926,319191,3
26926,319192,3
26926,333452,3
26926,385317,3
26926,385328,3
26926,404634,3
26926,51788,3
26926,547154,3
26926,547160,3
26926,547210,3
26926,621893,3
26926,624153,3
26926,624957,3
26926,665433,3
26926,68231,3
26926,76383,3
26926,77605,3
12028,12122,1
268373,100039319,3
268373,100042840,3
268373,100042922,3
268373,100042927,3
268373,100042929,3
268373,100042931,3
268373,100042939,3
268373,100042943,3
268373,100042944,3
268373,100042946,3
268373,15267,3
268373,15270,3
268373,232440,3
268373,236663,3
268373,26914,3
268373,319162,3
268373,319163,3
268373,319164,3
268373,319165,3
268373,319166,3
268373,319167,3
268373,319168,3
268373,319169,3
268373,319170,3
268373,319171,3
268373,319172,3
268373,319173,3
268373,319176,3
268373,319191,3
268373,319192,3
268373,333452,3
268373,385317,3
268373,385328,3
268373,404634,3
268373,51788,3
268373,547154,3
268373,547160,3
268373,547210,3
268373,621893,3
268373,624153,3
268373,624957,3
268373,665433,3
268373,68231,3
268373,76383,3
268373,77605,3
18783,56532,3
211429,56532,3
232889,56532,3
271844,56532,3
329502,56532,3
78390,56532,3
108058,56532,1
12322,56532,1
12323,56532,1
12325,56532,1
13058,56532,1
105513,74568,3
116733,74568,3
20479,74568,3
208092,74568,3
234852,74568,3
66371,74568,3
66700,74568,3
67028,74568,3
67064,74568,3
68942,74568,3
68953,74568,3
75608,74568,3
76959,74568,3
22333,11739,3
22333,11740,3
22333,73333,3
22333,108058,1
22333,12322,1
22333,12323,1
22333,12325,1
22334,11739,3
22334,11740,3
22334,73333,3
22334,108058,1
22334,12322,1
22334,12323,1
22334,12325,1
22335,11739,3
22335,11740,3
22335,73333,3
22335,108058,1
22335,12322,1
22335,12323,1
22335,12325,1
67738,11739,3
67738,11740,3
67738,73333,3
67738,108058,1
67738,12322,1
67738,12323,1
67738,12325,1
