vertex_a,vertex_b,edge,distance
16153,17533,1,0
16153,17534,1,0.00290698
16153,18779,1,0.00581396
16153,170776,1,0.00872094
16153,170779,1,0.0116279
16153,170780,1,0.0145349
16153,170786,1,0.0174419
16153,69142,1,0.0203489
16153,69165,1,0.0232558
16153,70192,1,0.0261628
216238,19344,3,0.0290698
216238,19345,3,0.0319768
216238,271457,3,0.0348838
216238,225326,3,0.0377907
19349,19344,1,0.0406977
19349,19345,1,0.0436047
19349,271457,1,0.0465117
19349,216238,1,0.0494187
13033,19349,1,0.0523256
108058,12313,1,0.0552326
108058,12314,1,0.0581396
108058,12315,1,0.0610466
108058,494124,1,0.0639536
108058,70405,1,0.0668605
108058,75600,1,0.0697675
108058,80796,1,0.0726745
12322,12313,1,0.0755815
12322,12314,1,0.0784885
12322,12315,1,0.0813954
12322,494124,1,0.0843024
12322,70405,1,0.0872094
12322,75600,1,0.0901164
12322,80796,1,0.0930234
12323,12313,1,0.0959303
12323,12314,1,0.0988373
12323,12315,1,0.101744
12323,494124,1,0.104651
12323,70405,1,0.107558
12323,75600,1,0.110465
12323,80796,1,0.113372
12325,12313,1,0.116279
12325,12314,1,0.119186
12325,12315,1,0.122093
12325,494124,1,0.125
12325,70405,1,0.127907
12325,75600,1,0.130814
12325,80796,1,0.133721
19055,12313,1,0.136628
19055,12314,1,0.139535
19055,12315,1,0.142442
19055,494124,1,0.145349
19055,70405,1,0.148256
19055,75600,1,0.151163
19055,80796,1,0.15407
19056,12313,1,0.156977
19056,12314,1,0.159884
19056,12315,1,0.162791
19056,494124,1,0.165698
19056,70405,1,0.168605
19056,75600,1,0.171512
19056,80796,1,0.174419
19057,12313,1,0.177326
19057,12314,1,0.180233
19057,12315,1,0.18314
19057,494124,1,0.186047
19057,70405,1,0.188954
19057,75600,1,0.191861
19057,80796,1,0.194768
19058,12313,1,0.197675
19058,12314,1,0.200582
19058,12315,1,0.203489
19058,494124,1,0.206396
19058,70405,1,0.209303
19058,75600,1,0.21221
19058,80796,1,0.215117
19059,12313,1,0.218024
19059,12314,1,0.22093
19059,12315,1,0.223837
19059,494124,1,0.226744
19059,70405,1,0.229651
19059,75600,1,0.232558
19059,80796,1,0.235465
20846,108058,1,0.238372
20846,12322,1,0.241279
20846,12323,1,0.244186
20846,12325,1,0.247093
12265,20846,1,0.25
12265,12608,2,0.252907
12265,12611,2,0.255814
18033,110157,1,0.258721
19697,110157,1,0.261628
17874,24088,1,0.264535
266632,17874,1,0.267442
21898,12475,1,0.270349
21926,26413,1,0.273256
21926,26417,1,0.276163
21926,18033,1,0.27907
21926,19697,1,0.281977
21937,21926,1,0.284884
14082,17874,1,0.287791
14082,21937,1,0.290698
12370,71609,1,0.293605
12370,14082,1,0.296512
12122,12370,1,0.299419
12015,11651,2,0.302326
12015,11652,2,0.305233
12015,23797,2,0.30814
12043,12015,3,0.311047
12028,12122,1,0.313954
16149,170767,1,0.316861
16149,19727,1,0.319768
16149,53970,1,0.322675
16149,12912,1,0.325582
16149,18044,1,0.328489
16149,18045,1,0.331396
16149,18046,1,0.334303
100504404,170767,1,0.33721
100504404,19727,1,0.340117
100504404,53970,1,0.343024
100504404,12912,1,0.345931
100504404,18044,1,0.348838
100504404,18045,1,0.351745
100504404,18046,1,0.354652
14960,170767,1,0.357559
14960,19727,1,0.360466
14960,53970,1,0.363372
14960,12912,1,0.366279
14960,18044,1,0.369186
14960,18045,1,0.372093
14960,18046,1,0.375
14961,170767,1,0.377907
14961,19727,1,0.380814
14961,53970,1,0.383721
14961,12912,1,0.386628
14961,18044,1,0.389535
14961,18045,1,0.392442
14961,18046,1,0.395349
14969,170767,1,0.398256
14969,19727,1,0.401163
14969,53970,1,0.40407
14969,12912,1,0.406977
14969,18044,1,0.409884
14969,18045,1,0.412791
14969,18046,1,0.415698
14998,170767,1,0.418605
14998,19727,1,0.421512
14998,53970,1,0.424419
14998,12912,1,0.427326
14998,18044,1,0.430233
14998,18045,1,0.43314
14998,18046,1,0.436047
14999,170767,1,0.438954
14999,19727,1,0.441861
14999,53970,1,0.444768
14999,12912,1,0.447675
14999,18044,1,0.450582
14999,18045,1,0.453489
14999,18046,1,0.456396
15000,170767,1,0.459303
15000,19727,1,0.46221
15000,53970,1,0.465117
15000,12912,1,0.468024
15000,18044,1,0.470931
15000,18045,1,0.473838
15000,18046,1,0.476745
15001,170767,1,0.479652
15001,19727,1,0.482559
15001,53970,1,0.485466
15001,12912,1,0.488373
15001,18044,1,0.49128
15001,18045,1,0.494187
15001,18046,1,0.497094
15002,170767,1,0.500001
15002,19727,1,0.502908
15002,53970,1,0.505815
15002,12912,1,0.508722
15002,18044,1,0.511628
15002,18045,1,0.514535
15002,18046,1,0.517442
381091,170767,1,0.520349
381091,19727,1,0.523256
381091,53970,1,0.526163
381091,12912,1,0.52907
381091,18044,1,0.531977
381091,18045,1,0.534884
381091,18046,1,0.537791
16154,16153,1,0.540698
16159,26413,1,0.543605
16159,26417,1,0.546512
16159,18033,1,0.549419
16159,19697,1,0.552326
16160,26413,1,0.555233
16160,26417,1,0.55814
16160,18033,1,0.561047
16160,19697,1,0.563954
16175,26413,1,0.566861
16175,26417,1,0.569768
16175,18033,1,0.572675
16175,19697,1,0.575582
16176,26413,1,0.578489
16176,26417,1,0.581396
16176,18033,1,0.584303
16176,19697,1,0.58721
15962,17874,1,0.590117
15964,17874,1,0.593024
15965,17874,1,0.595931
15967,17874,1,0.598838
15968,17874,1,0.601745
15969,17874,1,0.604652
15970,17874,1,0.607559
15972,17874,1,0.610466
15974,17874,1,0.613373
230396,17874,1,0.61628
230398,17874,1,0.619187
242517,17874,1,0.622094
242519,17874,1,0.625001
404549,17874,1,0.627908
16193,26413,1,0.630815
16193,26417,1,0.633722
16193,18033,1,0.636629
16193,19697,1,0.639536
69632,170776,3,0.642443
69632,170779,3,0.64535
69632,170780,3,0.648257
69632,170786,3,0.651164
69632,69142,3,0.65407
69632,69165,3,0.656977
69632,70192,3,0.659884
11848,170776,3,0.662791
11848,170779,3,0.665698
11848,170780,3,0.668605
11848,170786,3,0.671512
11848,69142,3,0.674419
11848,69165,3,0.677326
11848,70192,3,0.680233
67653,170776,3,0.68314
67653,170779,3,0.686047
67653,170780,3,0.688954
67653,170786,3,0.691861
67653,69142,3,0.694768
67653,69165,3,0.697675
67653,70192,3,0.700582
16985,170776,3,0.703489
16985,170779,3,0.706396
16985,170780,3,0.709303
16985,170786,3,0.71221
16985,69142,3,0.715117
16985,69165,3,0.718024
16985,70192,3,0.720931
16985,110157,3,0.723838
16706,170776,3,0.726745
16706,170779,3,0.729652
16706,170780,3,0.732559
16706,170786,3,0.735466
16706,69142,3,0.738373
16706,69165,3,0.74128
16706,70192,3,0.744187
16706,110157,3,0.747094
12795,170776,3,0.750001
12795,170779,3,0.752908
12795,170780,3,0.755815
12795,170786,3,0.758722
12795,69142,3,0.761629
12795,69165,3,0.764536
12795,70192,3,0.767443
12795,110157,3,0.77035
22337,17874,1,0.773257
22337,117149,1,0.776164
13115,17874,1,0.779071
13115,117149,1,0.781978
12796,22337,1,0.784885
16173,26413,1,0.787792
16173,26417,1,0.790699
16173,18033,1,0.793606
16173,19697,1,0.796513
83430,26413,1,0.799419
83430,26417,1,0.802326
83430,18033,1,0.805233
83430,19697,1,0.80814
192656,257632,1,0.811047
20963,56644,1,0.813954
332579,20963,1,0.816861
15979,15978,1,0.819768
26414,22034,1,0.822675
26414,192656,1,0.825582
26419,22034,1,0.828489
26419,192656,1,0.831396
26420,22034,1,0.834303
26420,192656,1,0.83721
19094,22034,1,0.840117
19094,192656,1,0.843024
26415,22034,1,0.845931
26415,192656,1,0.848838
26416,22034,1,0.851745
26416,192656,1,0.854652
29857,22034,1,0.857559
29857,192656,1,0.860466
21803,17533,1,0.863373
21803,17534,1,0.86628
21803,18779,1,0.869187
21803,170776,1,0.872094
21803,170779,1,0.875001
21803,170780,1,0.877908
21803,170786,1,0.880815
21803,69142,1,0.883722
21803,69165,1,0.886629
21803,70192,1,0.889536
21808,17533,1,0.892443
21808,17534,1,0.89535
21808,18779,1,0.898257
21808,170776,1,0.901164
21808,170779,1,0.904071
21808,170780,1,0.906978
21808,170786,1,0.909885
21808,69142,1,0.912792
21808,69165,1,0.915699
21808,70192,1,0.918606
21809,17533,1,0.921513
21809,17534,1,0.92442
21809,18779,1,0.927327
21809,170776,1,0.930234
21809,170779,1,0.933141
21809,170780,1,0.936048
21809,170786,1,0.938955
21809,69142,1,0.941862
21809,69165,1,0.944769
21809,70192,1,0.947675
108960,266632,1,0.950582
16179,266632,1,0.953489
16155,16153,1,0.956396
18126,20846,1,0.959303
18126,26413,1,0.96221
18126,26417,1,0.965117
18126,18033,1,0.968024
18126,19697,1,0.970931
18126,26414,1,0.973838
18126,26419,1,0.976745
18126,26420,1,0.979652
18126,19094,1,0.982559
18126,26415,1,0.985466
18126,26416,1,0.988373
18126,29857,1,0.99128
15977,17874,1,0.994187
