vertex_a,vertex_b,edge,distance
56637,11651,2,0
56637,11652,2,0.002849
56637,23797,2,0.005698
12015,11651,2,0.008547
12015,11652,2,0.011396
12015,23797,2,0.014245
17246,11651,1,0.017094
17246,11652,1,0.019943
17246,23797,1,0.022792
22059,17246,2,0.025641
12443,56637,2,0.02849
12675,11651,1,0.031339
12675,11652,1,0.034188
12675,23797,1,0.037037
16150,11651,1,0.039886
16150,11652,1,0.042735
16150,23797,1,0.045584
16151,11651,1,0.048433
16151,11652,1,0.051282
16151,23797,1,0.054131
18033,12675,1,0.05698
18033,16150,1,0.059829
18033,16151,1,0.062678
19697,12675,1,0.065527
19697,16150,1,0.068376
19697,16151,1,0.071225
14784,13649,1,0.074074
20662,14784,1,0.076923
20663,14784,1,0.079772
15461,20662,1,0.082621
15461,20663,1,0.08547
16653,20662,1,0.088319
16653,20663,1,0.091168
18176,20662,1,0.094017
18176,20663,1,0.096866
12575,22059,1,0.099715
12576,22059,1,0.102564
12566,12575,2,0.105413
12566,12576,2,0.108262
110157,15461,1,0.111111
110157,16653,1,0.11396
110157,18176,1,0.116809
26395,110157,1,0.119658
26396,110157,1,0.122507
26413,26395,1,0.125356
26413,26396,1,0.128205
26417,26395,1,0.131054
26417,26396,1,0.133903
14083,12643,1,0.136752
14083,12824,1,0.139601
14083,12826,1,0.14245
14083,12827,1,0.145299
14083,12828,1,0.148148
14083,12829,1,0.150997
14083,12830,1,0.153846
14083,12833,1,0.156695
14083,12834,1,0.159544
14083,12835,1,0.162393
14083,12839,1,0.165242
14083,12840,1,0.168091
14083,12841,1,0.17094
14083,12842,1,0.173789
14083,12843,1,0.176638
14083,12845,1,0.179487
14083,14268,1,0.182336
14083,15891,1,0.185185
14083,16772,1,0.188034
14083,16773,1,0.190883
14083,16774,1,0.193732
14083,16775,1,0.196581
14083,16776,1,0.19943
14083,16777,1,0.202279
14083,16779,1,0.205128
14083,16780,1,0.207977
14083,16782,1,0.210826
14083,19699,1,0.213675
14083,20750,1,0.216524
14083,21825,1,0.219373
14083,21826,1,0.222222
14083,21827,1,0.225071
14083,21828,1,0.22792
14083,21923,1,0.230769
14083,21960,1,0.233618
14083,22370,1,0.236467
14083,22371,1,0.239316
14083,226519,1,0.242165
14083,23928,1,0.245014
14083,245026,1,0.247863
14083,329278,1,0.250712
14083,665033,1,0.253561
14083,68553,1,0.25641
14083,81877,1,0.259259
14083,94216,1,0.262108
12447,12575,2,0.264957
12447,12576,2,0.267806
12448,12575,2,0.270655
12448,12576,2,0.273504
21937,21926,1,0.276353
12370,14082,1,0.279202
12367,12370,1,0.282051
14102,14103,1,0.2849
93742,14924,3,0.287749
93742,19211,3,0.290598
56513,14924,3,0.293447
56513,19211,3,0.296296
58220,14924,3,0.299145
58220,19211,3,0.301994
93737,14924,3,0.304843
93737,19211,3,0.307692
18759,14924,3,0.310541
18759,19211,3,0.31339
18762,14924,3,0.316239
18762,19211,3,0.319088
12540,14924,3,0.321937
12540,19211,3,0.324786
19303,14083,1,0.327635
22339,11651,1,0.330484
22339,11652,1,0.333333
22339,23797,1,0.336182
21752,74164,2,0.339031
19645,12443,1,0.34188
19645,12566,1,0.344729
19645,12447,1,0.347578
19645,12448,1,0.350427
19650,12443,1,0.353276
19650,12566,1,0.356125
19650,12447,1,0.358974
19650,12448,1,0.361823
19651,12443,1,0.364672
19651,12566,1,0.367521
19651,12447,1,0.37037
19651,12448,1,0.373219
13555,19645,3,0.376068
13555,19650,3,0.378917
13555,19651,3,0.381766
12427,13555,1,0.384615
12428,13555,1,0.387464
12567,12576,2,0.390313
12571,12576,2,0.393162
12444,12576,2,0.396011
12445,12576,2,0.39886
18128,74164,1,0.401709
18128,16449,1,0.404558
18129,74164,1,0.407407
18129,16449,1,0.410256
18131,74164,1,0.413105
18131,16449,1,0.415954
18132,74164,1,0.418803
18132,16449,1,0.421652
15205,18128,1,0.424501
15205,18129,1,0.42735
15205,18131,1,0.430199
15205,18132,1,0.433048
15205,19664,1,0.435897
15205,19668,1,0.438746
15205,103806,1,0.441595
15205,270118,1,0.444444
15205,433586,1,0.447293
15206,18128,1,0.450142
15206,18129,1,0.452991
15206,18131,1,0.45584
15206,18132,1,0.458689
15206,19664,1,0.461538
15206,19668,1,0.464387
15206,103806,1,0.467236
15206,270118,1,0.470085
15206,433586,1,0.472934
15207,18128,1,0.475783
15207,18129,1,0.478632
15207,18131,1,0.481481
15207,18132,1,0.48433
15207,19664,1,0.487179
15207,19668,1,0.490028
15207,103806,1,0.492877
15207,270118,1,0.495726
15207,433586,1,0.498575
15208,18128,1,0.501424
15208,18129,1,0.504273
15208,18131,1,0.507122
15208,18132,1,0.509971
15208,19664,1,0.51282
15208,19668,1,0.515669
15208,103806,1,0.518518
15208,270118,1,0.521367
15208,433586,1,0.524216
55927,18128,1,0.527065
55927,18129,1,0.529914
55927,18131,1,0.532763
55927,18132,1,0.535612
55927,19664,1,0.538461
55927,19668,1,0.54131
55927,103806,1,0.544159
55927,270118,1,0.547008
55927,433586,1,0.549857
84653,18128,1,0.552706
84653,18129,1,0.555555
84653,18131,1,0.558404
84653,18132,1,0.561253
84653,19664,1,0.564102
84653,19668,1,0.566951
84653,103806,1,0.5698
84653,270118,1,0.572649
84653,433586,1,0.575498
15213,18128,1,0.578347
15213,18129,1,0.581196
15213,18131,1,0.584045
15213,18132,1,0.586894
15213,19664,1,0.589743
15213,19668,1,0.592592
15213,103806,1,0.595441
15213,270118,1,0.59829
15213,433586,1,0.601139
15214,18128,1,0.603988
15214,18129,1,0.606837
15214,18131,1,0.609686
15214,18132,1,0.612535
15214,19664,1,0.615384
15214,19668,1,0.618233
15214,103806,1,0.621082
15214,270118,1,0.623931
15214,433586,1,0.62678
56198,18128,1,0.629629
56198,18129,1,0.632478
56198,18131,1,0.635327
56198,18132,1,0.638176
56198,19664,1,0.641025
56198,19668,1,0.643874
56198,103806,1,0.646723
56198,270118,1,0.649572
56198,433586,1,0.652421
106759,142980,1,0.65527
22031,106759,1,0.658119
56489,22031,1,0.660968
56480,22031,1,0.663817
54131,56489,1,0.666666
54131,56480,1,0.669515
15977,54131,1,0.672364
15975,15977,1,0.675213
15975,15962,1,0.678062
15975,15964,1,0.680911
15975,15965,1,0.68376
15975,15967,1,0.686609
15975,15968,1,0.689458
15975,15969,1,0.692307
15975,15970,1,0.695156
15975,15972,1,0.698005
15975,15974,1,0.700854
15975,230396,1,0.703703
15975,230398,1,0.706552
15975,242517,1,0.709401
15975,242519,1,0.71225
15975,404549,1,0.715099
15976,15977,1,0.717948
15976,15962,1,0.720797
15976,15964,1,0.723646
15976,15965,1,0.726495
15976,15967,1,0.729344
15976,15968,1,0.732193
15976,15969,1,0.735042
15976,15970,1,0.737891
15976,15972,1,0.74074
15976,15974,1,0.743589
15976,230396,1,0.746438
15976,230398,1,0.749287
15976,242517,1,0.752136
15976,242519,1,0.754985
15976,404549,1,0.757834
54721,15975,3,0.760683
54721,15976,3,0.763532
16451,15975,3,0.766381
16451,15976,3,0.76923
20847,15975,1,0.772079
20847,15976,1,0.774928
20846,20847,3,0.777777
16391,20847,3,0.780626
16391,20846,3,0.783475
19106,20847,1,0.786324
19106,20846,1,0.789173
231655,20847,1,0.792022
231655,20846,1,0.794871
23962,20847,1,0.79772
23962,20846,1,0.800569
17857,20847,1,0.803418
17857,20846,1,0.806267
17858,20847,1,0.809116
17858,20846,1,0.811965
100038882,20847,1,0.814814
100038882,20846,1,0.817663
19225,13649,1,0.820512
14683,19219,1,0.823361
18747,14683,3,0.82621
18749,14683,3,0.829059
12028,18747,2,0.831908
12028,18749,2,0.834757
12912,18747,1,0.837606
12912,18749,1,0.840455
12913,18747,1,0.843304
12913,18749,1,0.846153
208647,18747,1,0.849002
208647,18749,1,0.851851
208677,18747,1,0.8547
208677,18749,1,0.857549
231991,18747,1,0.860398
231991,18749,1,0.863247
26427,18747,1,0.866096
26427,18749,1,0.868945
78284,18747,1,0.871794
78284,18749,1,0.874643
56458,11651,2,0.877492
56458,11652,2,0.880341
56458,23797,2,0.88319
13542,14362,1,0.886039
13542,14365,1,0.888888
13542,14366,1,0.891737
13542,14367,1,0.894586
13542,14368,1,0.897435
13542,14369,1,0.900284
13542,14370,1,0.903133
13542,14371,1,0.905982
13542,57265,1,0.908831
13542,93897,1,0.91168
13543,14362,1,0.914529
13543,14365,1,0.917378
13543,14366,1,0.920227
13543,14367,1,0.923076
13543,14368,1,0.925925
13543,14369,1,0.928774
13543,14370,1,0.931623
13543,14371,1,0.934472
13543,57265,1,0.937321
13543,93897,1,0.94017
13544,14362,1,0.943019
13544,14365,1,0.945868
13544,14366,1,0.948717
13544,14367,1,0.951566
