vertex_a,vertex_b,edge
18770,208104,1
18770,21428,1
18770,58805,1
16193,18033,1
16193,19697,1
18706,16367,1
18706,384783,1
18707,16367,1
18707,384783,1
18708,16367,1
18708,384783,1
18709,16367,1
18709,384783,1
18710,16367,1
18710,384783,1
74769,16367,1
74769,384783,1
56637,11651,2
56637,11652,2
56637,23797,2
606496,11651,2
606496,11652,2
606496,23797,2
68465,11450,1
72674,11450,1
12122,12370,1
13063,12122,1
13067,12122,1
12367,13063,1
12367,13067,1
12369,13063,1
12369,13067,1
13665,13666,1
11911,13665,1
13198,11911,1
22030,78943,1
26414,21926,1
26419,21926,1
26420,21926,1
14281,26414,1
14281,26419,1
14281,26420,1
16476,26414,1
16476,26419,1
16476,26420,1
16150,22030,1
16175,18033,1
16175,19697,1
16176,18033,1
16176,19697,1
26408,22030,1
26403,12540,1
26403,19353,1
16396,26414,1
16396,26419,1
16396,26420,1
22433,78943,1
16847,16846,1
20181,19013,3
20181,22259,3
16337,16333,1
16337,16334,1
12606,22433,1
16194,16193,1
21937,21926,1
