vertex_a,vertex_b,edge,distance
18751,14129,3,0
18751,14131,3,0.0108696
18751,246256,3,0.0217392
17969,18751,1,0.0326088
12946,12266,3,0.0434784
16409,12266,3,0.054348
16414,12266,3,0.0652176
16415,12266,3,0.0760872
20846,16451,1,0.0869568
20846,16452,1,0.0978264
100504404,20846,1,0.108696
14960,20846,1,0.119566
14961,20846,1,0.130435
14969,20846,1,0.141305
14998,20846,1,0.152174
14999,20846,1,0.163044
15000,20846,1,0.173914
15001,20846,1,0.184783
15002,20846,1,0.195653
381091,20846,1,0.206522
17874,21898,1,0.217392
17874,24088,1,0.228262
18033,18035,3,0.239131
18033,18036,3,0.250001
19697,18035,3,0.26087
19697,18036,3,0.27174
16175,18033,1,0.28261
16175,19697,1,0.293479
16159,20846,1,0.304349
16159,18033,1,0.315218
16159,19697,1,0.326088
16160,20846,1,0.336958
16160,18033,1,0.347827
16160,19697,1,0.358697
18126,20846,1,0.369566
18126,21898,1,0.380436
18126,24088,1,0.391306
18126,16189,2,0.402175
21926,18033,1,0.413045
21926,19697,1,0.423914
16176,18033,1,0.434784
16176,19697,1,0.445654
26413,18751,1,0.456523
26413,15170,2,0.467393
26417,18751,1,0.478262
26417,15170,2,0.489132
13712,26413,1,0.500002
13712,26417,1,0.510871
14281,13712,1,0.521741
13058,17969,3,0.53261
19094,14129,1,0.54348
19094,14131,1,0.55435
19094,246256,1,0.565219
26415,14129,1,0.576089
26415,14131,1,0.586958
26415,246256,1,0.597828
26416,14129,1,0.608698
26416,14131,1,0.619567
26416,246256,1,0.630437
29857,14129,1,0.641306
29857,14131,1,0.652176
29857,246256,1,0.663046
16179,17874,1,0.673915
266632,17874,1,0.684785
22034,16179,1,0.695654
22034,266632,1,0.706524
66513,22034,1,0.717394
68652,22034,1,0.728263
26409,22034,1,0.739133
15979,15978,3,0.750002
15979,16451,3,0.760872
15979,16452,3,0.771742
15980,15978,3,0.782611
15980,16451,3,0.793481
15980,16452,3,0.80435
16476,26413,1,0.81522
16476,26417,1,0.82609
13057,17969,3,0.836959
17970,18751,1,0.847829
17970,13058,3,0.858698
17970,13057,3,0.869568
17972,18751,1,0.880438
17972,13058,3,0.891307
17972,13057,3,0.902177
19225,14129,1,0.913046
19225,14131,1,0.923916
19225,246256,1,0.934786
19225,12946,1,0.945655
19225,16409,1,0.956525
19225,16414,1,0.967394
19225,16415,1,0.978264
