vertex_a,vertex_b,edge,distance
12385,12387,3,0
12386,12387,3,0.0212766
216033,12387,3,0.0425532
78514,12387,3,0.0638298
13043,20779,1,0.0851064
15163,20779,1,0.106383
11461,78514,1,0.12766
11461,11867,1,0.148936
11461,242894,1,0.170213
11461,56378,1,0.191489
11461,56443,1,0.212766
11461,66713,1,0.234043
11461,67771,1,0.255319
11461,68089,1,0.276596
11461,74117,1,0.297872
11461,74192,1,0.319149
11461,76709,1,0.340426
11465,78514,1,0.361702
11465,11867,1,0.382979
11465,242894,1,0.404255
11465,56378,1,0.425532
11465,56443,1,0.446809
11465,66713,1,0.468085
11465,67771,1,0.489362
11465,68089,1,0.510638
11465,74117,1,0.531915
11465,74192,1,0.553192
11465,76709,1,0.574468
14083,20779,1,0.595745
17295,12402,3,0.617021
103967,13043,1,0.638298
103967,15163,1,0.659575
13429,13043,1,0.680851
13429,15163,1,0.702128
13430,13043,1,0.723404
13430,15163,1,0.744681
12927,14083,1,0.765958
242687,19353,1,0.787234
83767,19353,1,0.808511
73178,12540,1,0.829787
14388,17295,3,0.851064
16202,16402,1,0.872341
16202,16412,1,0.893617
140579,56212,1,0.914894
140580,56212,1,0.93617
234683,56212,1,0.957447
