vertex_a,vertex_b,edge,distance
17874,21898,1,0
117149,21898,1,0.010989
16175,107607,1,0.021978
16176,107607,1,0.032967
18126,16175,1,0.043956
18126,16176,1,0.054945
14677,21898,1,0.065934
14678,21898,1,0.076923
14679,21898,1,0.087912
12631,11848,1,0.098901
12631,67653,1,0.10989
12632,11848,1,0.120879
12632,67653,1,0.131868
12268,50909,1,0.142857
12268,667277,1,0.153846
12268,317677,1,0.164835
12268,50908,1,0.175824
12268,12259,1,0.186813
12268,12260,1,0.197802
12268,12262,1,0.208791
12268,12269,2,0.21978
12268,22789,2,0.230769
625018,50909,1,0.241758
625018,667277,1,0.252747
625018,317677,1,0.263736
625018,50908,1,0.274725
625018,12259,1,0.285714
625018,12260,1,0.296703
625018,12262,1,0.307692
625018,12269,2,0.318681
625018,22789,2,0.32967
12263,50909,1,0.340659
12263,667277,1,0.351648
12263,317677,1,0.362637
12263,50908,1,0.373626
12263,12259,1,0.384615
12263,12260,1,0.395604
12263,12262,1,0.406593
12266,12268,1,0.417582
12266,625018,1,0.428571
12266,12263,1,0.43956
15139,12268,1,0.450549
15139,625018,1,0.461538
15139,12263,1,0.472527
19094,14677,1,0.483516
19094,14678,1,0.494505
19094,14679,1,0.505494
26415,14677,1,0.516483
26415,14678,1,0.527472
26415,14679,1,0.538461
26416,14677,1,0.54945
26416,14678,1,0.560439
26416,14679,1,0.571428
29857,14677,1,0.582417
29857,14678,1,0.593406
29857,14679,1,0.604395
26413,21898,1,0.615384
26413,14677,1,0.626373
26413,14678,1,0.637362
26413,14679,1,0.648351
26417,21898,1,0.65934
26417,14677,1,0.670329
26417,14678,1,0.681318
26417,14679,1,0.692307
14281,19094,1,0.703296
14281,26415,1,0.714285
14281,26416,1,0.725274
14281,29857,1,0.736263
14281,26413,1,0.747252
14281,26417,1,0.758241
16476,19094,1,0.76923
16476,26415,1,0.780219
16476,26416,1,0.791208
16476,29857,1,0.802197
16476,26413,1,0.813186
16476,26417,1,0.824175
26414,14677,1,0.835164
26414,14678,1,0.846153
26414,14679,1,0.857142
26419,14677,1,0.868131
26419,14678,1,0.87912
26419,14679,1,0.890109
26420,14677,1,0.901098
26420,14678,1,0.912087
26420,14679,1,0.923076
16179,17874,1,0.934065
22034,16179,1,0.945054
225471,21898,1,0.956043
106759,225471,1,0.967032
266632,17874,1,0.978021
