vertex_a,vertex_b,edge
14682,12425,1
14682,12671,1
18795,14682,1
18796,14682,1
18797,14682,1
18798,14682,1
16438,18795,3
16438,18796,3
16438,18797,3
16438,18798,3
16439,18795,3
16439,18796,3
16439,18797,3
16439,18798,3
16440,18795,3
16440,18796,3
16440,18797,3
16440,18798,3
18750,18795,3
18750,18796,3
18750,18797,3
18750,18798,3
18751,18795,3
18751,18796,3
18751,18797,3
18751,18798,3
18752,18795,3
18752,18796,3
18752,18797,3
18752,18798,3
12182,12425,1
12494,12425,1
14683,319229,1
104110,14683,1
104111,14683,1
11512,14683,1
11513,14683,1
11514,14683,1
11515,14683,1
210044,14683,1
224129,14683,1
432530,14683,1
