vertex_a,vertex_b,edge
229905,107869,3
229905,12411,3
70266,107869,3
70266,12411,3
12116,229905,3
12116,70266,3
108645,234724,3
108645,238505,3
108645,12116,3
11720,234724,3
11720,238505,3
11720,12116,3
232087,234724,3
232087,238505,3
232087,12116,3
13433,108645,3
13433,11720,3
13433,232087,3
13435,108645,3
13435,11720,3
13435,232087,3
13436,108645,3
13436,11720,3
13436,232087,3
100328588,104923,3
100470,104923,3
14204,104923,3
73988,104923,3
64918,229905,3
64918,70266,3
64918,11615,3
64918,229709,3
64918,269378,3
64918,74340,3
67870,56369,3
14718,107869,3
14718,229905,3
14718,70266,3
14719,107869,3
14719,229905,3
14719,70266,3
76615,107869,3
76615,229905,3
76615,70266,3
12583,107869,3
12583,229905,3
12583,70266,3
12583,14718,3
12583,14719,3
12583,76615,3
22117,14718,3
22117,14719,3
22117,76615,3
246221,14718,3
246221,14719,3
246221,76615,3
106557,14718,3
106557,14719,3
106557,76615,3
16828,14718,3
16828,14719,3
16828,76615,3
16832,14718,3
16832,14719,3
16832,76615,3
16833,14718,3
16833,14719,3
16833,76615,3
20603,100041585,3
20603,11702,3
17448,14718,3
17448,14719,3
17448,76615,3
17449,14718,3
17449,14719,3
17449,76615,3
12035,107869,3
12036,107869,3
268782,107869,3
268782,12035,3
268782,12036,3
14629,12035,3
14629,12036,3
14629,268782,3
14630,12035,3
14630,12036,3
14630,268782,3
14854,14629,3
14854,14630,3
107272,236539,3
