vertex_a,vertex_b,edge,distance
20963,246256,3,0
20963,14129,3,0.00431034
18706,20963,1,0.00862068
18707,20963,1,0.012931
18708,20963,1,0.0172414
18709,20963,1,0.0215517
18710,20963,1,0.025862
74769,20963,1,0.0301724
16331,14130,3,0.0344827
16332,14130,3,0.0387931
16797,18706,3,0.0431034
16797,18707,3,0.0474137
16797,18708,3,0.0517241
16797,18709,3,0.0560344
16797,18710,3,0.0603448
16797,74769,3,0.0646551
18803,20963,1,0.0689654
18803,18706,1,0.0732758
18803,18707,1,0.0775861
18803,18708,1,0.0818965
18803,18709,1,0.0862068
18803,18710,1,0.0905171
18803,74769,1,0.0948275
234779,20963,1,0.0991378
234779,18706,1,0.103448
234779,18707,1,0.107759
234779,18708,1,0.112069
234779,18709,1,0.116379
234779,18710,1,0.12069
234779,74769,1,0.125
18753,18803,3,0.12931
18753,234779,3,0.133621
18754,18803,3,0.137931
18754,234779,3,0.142241
110157,18753,1,0.146552
110157,18754,1,0.150862
26395,110157,1,0.155172
26413,26395,1,0.159483
26417,26395,1,0.163793
18783,26413,1,0.168103
18783,26417,1,0.172414
211429,26413,1,0.176724
211429,26417,1,0.181034
232889,26413,1,0.185345
232889,26417,1,0.189655
271844,26413,1,0.193965
271844,26417,1,0.198276
329502,26413,1,0.202586
329502,26417,1,0.206896
78390,26413,1,0.211207
78390,26417,1,0.215517
11651,18706,3,0.219827
11651,18707,3,0.224138
11651,18708,3,0.228448
11651,18709,3,0.232758
11651,18710,3,0.237069
11651,74769,3,0.241379
11651,18803,3,0.245689
11651,234779,3,0.25
11652,18706,3,0.25431
11652,18707,3,0.25862
11652,18708,3,0.262931
11652,18709,3,0.267241
11652,18710,3,0.271551
11652,74769,3,0.275862
11652,18803,3,0.280172
11652,234779,3,0.284482
23797,18706,3,0.288793
23797,18707,3,0.293103
23797,18708,3,0.297413
23797,18709,3,0.301724
23797,18710,3,0.306034
23797,74769,3,0.310344
23797,18803,3,0.314655
23797,234779,3,0.318965
58988,11651,1,0.323275
58988,11652,1,0.327586
58988,23797,1,0.331896
72508,11651,1,0.336207
72508,11652,1,0.340517
72508,23797,1,0.344827
22324,20963,1,0.349138
22325,20963,1,0.353448
57257,20963,1,0.357758
19353,22324,1,0.362069
19353,22325,1,0.366379
19353,57257,1,0.370689
19354,22324,1,0.375
19354,22325,1,0.37931
19354,57257,1,0.38362
242687,19353,1,0.387931
242687,19354,1,0.392241
245880,19353,1,0.396551
245880,19354,1,0.400862
83767,19353,1,0.405172
83767,19354,1,0.409482
11867,242687,1,0.413793
11867,245880,1,0.418103
11867,83767,1,0.422413
242894,242687,1,0.426724
242894,245880,1,0.431034
242894,83767,1,0.435344
56378,242687,1,0.439655
56378,245880,1,0.443965
56378,83767,1,0.448275
56443,242687,1,0.452586
56443,245880,1,0.456896
56443,83767,1,0.461206
66713,242687,1,0.465517
66713,245880,1,0.469827
66713,83767,1,0.474137
67771,242687,1,0.478448
67771,245880,1,0.482758
67771,83767,1,0.487068
68089,242687,1,0.491379
68089,245880,1,0.495689
68089,83767,1,0.499999
74117,242687,1,0.50431
74117,245880,1,0.50862
74117,83767,1,0.51293
74192,242687,1,0.517241
74192,245880,1,0.521551
74192,83767,1,0.525861
76709,242687,1,0.530172
76709,245880,1,0.534482
76709,83767,1,0.538793
12540,22324,1,0.543103
12540,22325,1,0.547413
12540,57257,1,0.551724
22376,12540,1,0.556034
12928,246256,3,0.560344
12928,14129,3,0.564655
12928,330662,3,0.568965
12929,246256,3,0.573275
12929,14129,3,0.577586
12929,330662,3,0.581896
18805,20963,1,0.586206
18805,18706,3,0.590517
18805,18707,3,0.594827
18805,18708,3,0.599137
18805,18709,3,0.603448
18805,18710,3,0.607758
18805,74769,3,0.612068
18805,18803,3,0.616379
18805,234779,3,0.620689
18806,20963,1,0.624999
18806,18706,3,0.62931
18806,18707,3,0.63362
18806,18708,3,0.63793
18806,18709,3,0.642241
18806,18710,3,0.646551
18806,74769,3,0.650861
18806,18803,3,0.655172
18806,234779,3,0.659482
18479,19353,1,0.663792
18479,19354,1,0.668103
22323,12540,1,0.672413
16885,18479,1,0.676723
16886,18479,1,0.681034
12631,16885,2,0.685344
12631,16886,2,0.689654
12632,16885,2,0.693965
12632,16886,2,0.698275
53357,18753,1,0.702585
53357,18754,1,0.706896
17118,18753,2,0.711206
17118,18754,2,0.715516
17357,18753,2,0.719827
17357,18754,2,0.724137
17909,18706,3,0.728447
17909,18707,3,0.732758
17909,18708,3,0.737068
17909,18709,3,0.741378
17909,18710,3,0.745689
17909,74769,3,0.749999
17909,18803,3,0.75431
17909,234779,3,0.75862
18717,19353,1,0.76293
18717,19354,1,0.767241
18717,18805,3,0.771551
18717,18806,3,0.775861
18719,19353,1,0.780172
18719,19354,1,0.784482
18719,18805,3,0.788792
18719,18806,3,0.793103
18720,19353,1,0.797413
18720,19354,1,0.801723
18720,18805,3,0.806034
18720,18806,3,0.810344
19012,18805,3,0.814654
19012,18806,3,0.818965
50784,18805,3,0.823275
50784,18806,3,0.827585
67916,18805,3,0.831896
67916,18806,3,0.836206
14389,15162,1,0.840516
14389,17096,1,0.844827
14389,18706,3,0.849137
14389,18707,3,0.853447
14389,18708,3,0.857758
14389,18709,3,0.862068
14389,18710,3,0.866378
14389,74769,3,0.870689
11845,20963,1,0.874999
11845,19353,1,0.879309
11845,19354,1,0.88362
11845,13196,1,0.88793
11845,211914,1,0.89224
11845,230837,1,0.896551
13430,18706,1,0.900861
13430,18707,1,0.905171
13430,18708,1,0.909482
13430,18709,1,0.913792
13430,18710,1,0.918102
13430,74769,1,0.922413
218038,18706,1,0.926723
218038,18707,1,0.931033
218038,18708,1,0.935344
218038,18709,1,0.939654
218038,18710,1,0.943964
218038,74769,1,0.948275
30948,18706,1,0.952585
30948,18707,1,0.956895
30948,18708,1,0.961206
30948,18709,1,0.965516
30948,18710,1,0.969827
30948,74769,1,0.974137
20698,18805,1,0.978447
20698,18806,1,0.982758
56632,18805,1,0.987068
56632,18806,1,0.991378
