vertex_a,vertex_b,edge,distance
18706,20963,1,0
18707,20963,1,0.00584795
18708,20963,1,0.0116959
18709,20963,1,0.0175438
18710,20963,1,0.0233918
74769,20963,1,0.0292398
18795,20963,1,0.0350877
18796,20963,1,0.0409357
18797,20963,1,0.0467836
18798,20963,1,0.0526315
18803,20963,1,0.0584795
234779,20963,1,0.0643275
18750,18795,3,0.0701754
18750,18796,3,0.0760234
18750,18797,3,0.0818713
18750,18798,3,0.0877192
18750,18803,3,0.0935672
18750,234779,3,0.0994152
18751,18795,3,0.105263
18751,18796,3,0.111111
18751,18797,3,0.116959
18751,18798,3,0.122807
18751,18803,3,0.128655
18751,234779,3,0.134503
18752,18795,3,0.140351
18752,18796,3,0.146199
18752,18797,3,0.152047
18752,18798,3,0.157895
18752,18803,3,0.163743
18752,234779,3,0.169591
26395,110157,1,0.175438
26396,110157,1,0.181286
26413,20963,1,0.187134
26413,26395,1,0.192982
26413,26396,1,0.19883
26417,20963,1,0.204678
26417,26395,1,0.210526
26417,26396,1,0.216374
11651,18706,3,0.222222
11651,18707,3,0.22807
11651,18708,3,0.233918
11651,18709,3,0.239766
11651,18710,3,0.245614
11651,74769,3,0.251462
11652,18706,3,0.25731
11652,18707,3,0.263158
11652,18708,3,0.269006
11652,18709,3,0.274854
11652,18710,3,0.280702
11652,74769,3,0.28655
23797,18706,3,0.292398
23797,18707,3,0.298245
23797,18708,3,0.304093
23797,18709,3,0.309941
23797,18710,3,0.315789
23797,74769,3,0.321637
69146,12362,1,0.327485
11596,102641752,1,0.333333
11596,15289,1,0.339181
11596,385454,1,0.345029
16409,20779,1,0.350877
16409,20963,3,0.356725
24088,102641752,1,0.362573
24088,15289,1,0.368421
24088,385454,1,0.374269
16414,20779,1,0.380117
16414,20963,3,0.385965
16415,20779,1,0.391813
16415,20963,3,0.397661
18602,16409,3,0.403509
110135,16409,3,0.409357
110135,16414,3,0.415204
110135,16415,3,0.421052
14161,16409,3,0.4269
14161,16414,3,0.432748
14161,16415,3,0.438596
99571,16409,3,0.444444
99571,16414,3,0.450292
99571,16415,3,0.45614
13058,18750,1,0.461988
13058,18751,1,0.467836
13058,18752,1,0.473684
13058,26413,1,0.479532
13058,26417,1,0.48538
13058,170743,1,0.491228
13058,170744,1,0.497076
13057,18750,1,0.502924
13057,18751,1,0.508772
13057,18752,1,0.51462
13057,26413,1,0.520468
13057,26417,1,0.526316
13057,170743,1,0.532163
13057,170744,1,0.538011
17969,18750,1,0.543859
17969,18751,1,0.549707
17969,18752,1,0.555555
17969,26413,1,0.561403
17969,26417,1,0.567251
17969,170743,1,0.573099
17969,170744,1,0.578947
17970,18750,1,0.584795
17970,18751,1,0.590643
17970,18752,1,0.596491
17970,26413,1,0.602339
17970,26417,1,0.608187
17970,170743,1,0.614035
17970,170744,1,0.619883
19353,18750,1,0.625731
19353,18751,1,0.631579
19353,18752,1,0.637427
19353,26413,1,0.643274
19353,26417,1,0.649122
19353,170743,1,0.65497
19353,170744,1,0.660818
19354,18750,1,0.666666
19354,18751,1,0.672514
19354,18752,1,0.678362
19354,26413,1,0.68421
19354,26417,1,0.690058
19354,170743,1,0.695906
19354,170744,1,0.701754
17972,18750,1,0.707602
17972,18751,1,0.71345
17972,18752,1,0.719298
17972,26413,1,0.725146
17972,26417,1,0.730994
17972,170743,1,0.736842
17972,170744,1,0.74269
26409,20963,1,0.748538
56717,11651,1,0.754386
56717,11652,1,0.760234
56717,23797,1,0.766081
74244,18750,1,0.771929
74244,18751,1,0.777777
74244,18752,1,0.783625
74244,56717,1,0.789473
12273,20779,1,0.795321
12273,20963,3,0.801169
12946,20779,1,0.807017
12946,20963,3,0.812865
12946,12266,1,0.818713
18033,18706,3,0.824561
18033,18707,3,0.830409
18033,18708,3,0.836257
18033,18709,3,0.842105
18033,18710,3,0.847953
18033,74769,3,0.853801
19697,18706,3,0.859649
19697,18707,3,0.865497
19697,18708,3,0.871345
19697,18709,3,0.877193
19697,18710,3,0.88304
19697,74769,3,0.888888
16399,110135,3,0.894736
16399,14161,3,0.900584
16399,99571,3,0.906432
16416,110135,3,0.91228
16416,14161,3,0.918128
16416,99571,3,0.923976
56644,20779,1,0.929824
56644,20963,3,0.935672
16408,20779,1,0.94152
16408,20963,3,0.947368
22371,16409,3,0.953216
22371,16414,3,0.959064
22371,16415,3,0.964912
19094,21898,1,0.97076
26415,21898,1,0.976608
26416,21898,1,0.982456
29857,21898,1,0.988304
