vertex_a,vertex_b,edge,distance
93742,56513,3,0
93742,58220,3,0.00442478
93742,93737,3,0.00884956
14083,13176,1,0.0132743
18479,170758,1,0.0176991
18479,19353,1,0.0221239
18479,19354,1,0.0265487
18479,12540,1,0.0309735
18481,170758,1,0.0353982
18481,19353,1,0.039823
18481,19354,1,0.0442478
18481,12540,1,0.0486726
214230,170758,1,0.0530974
214230,19353,1,0.0575221
214230,19354,1,0.0619469
214230,12540,1,0.0663717
224105,170758,1,0.0707965
224105,19353,1,0.0752213
224105,19354,1,0.079646
224105,12540,1,0.0840708
241656,170758,1,0.0884956
241656,19353,1,0.0929204
241656,19354,1,0.0973452
241656,12540,1,0.10177
70584,170758,1,0.106195
70584,19353,1,0.110619
70584,19354,1,0.115044
70584,12540,1,0.119469
11848,14083,1,0.123894
67653,14083,1,0.128319
17973,13176,3,0.132743
17973,18479,3,0.137168
17973,18481,3,0.141593
17973,214230,3,0.146018
17973,224105,3,0.150443
17973,241656,3,0.154867
17973,70584,3,0.159292
19876,20563,1,0.163717
19876,20562,1,0.168142
19876,19649,2,0.172566
107448,14083,1,0.176991
107449,14083,1,0.181416
210801,14083,1,0.185841
22253,14083,1,0.190266
241568,80883,3,0.19469
268902,20563,1,0.199115
268902,20562,1,0.20354
268902,11350,1,0.207965
13844,13641,1,0.212389
13844,13642,1,0.216814
13844,13643,1,0.221239
13845,13641,1,0.225664
13845,13642,1,0.230089
13845,13643,1,0.234513
13846,13641,1,0.238938
13846,13642,1,0.243363
13846,13643,1,0.247788
13848,13641,1,0.252212
13848,13642,1,0.256637
13848,13643,1,0.261062
270190,13641,1,0.265487
270190,13642,1,0.269912
270190,13643,1,0.274336
14360,14083,1,0.278761
14360,13636,1,0.283186
14360,13637,1,0.287611
14360,13638,1,0.292035
14360,13639,1,0.29646
14360,13640,1,0.300885
50780,13641,3,0.30531
50780,13642,3,0.309735
50780,13643,3,0.314159
54712,20361,1,0.318584
140570,69632,3,0.323009
140570,17295,3,0.327434
140571,69632,3,0.331859
140571,17295,3,0.336283
235611,69632,3,0.340708
235611,17295,3,0.345133
18844,14360,1,0.349558
18845,14360,1,0.353982
