vertex_a,vertex_b,edge
14683,16867,1
104110,14683,1
104111,14683,1
11512,14683,1
11513,14683,1
11514,14683,1
11515,14683,1
210044,14683,1
224129,14683,1
432530,14683,1
14309,12640,1
14309,14308,1
18747,104110,3
18747,104111,3
18747,11512,3
18747,11513,3
18747,11514,3
18747,11515,3
18747,210044,3
18747,224129,3
18747,432530,3
18749,104110,3
18749,104111,3
18749,11512,3
18749,11513,3
18749,11514,3
18749,11515,3
18749,210044,3
18749,224129,3
18749,432530,3
171210,104110,3
171210,104111,3
171210,11512,3
171210,11513,3
171210,11514,3
171210,11515,3
171210,210044,3
171210,224129,3
171210,432530,3
171281,104110,3
171281,104111,3
171281,11512,3
171281,11513,3
171281,11514,3
171281,11515,3
171281,210044,3
171281,224129,3
171281,432530,3
171282,104110,3
171282,104111,3
171282,11512,3
171282,11513,3
171282,11514,3
171282,11515,3
171282,210044,3
171282,224129,3
171282,432530,3
217698,104110,3
217698,104111,3
217698,11512,3
217698,11513,3
217698,11514,3
217698,11515,3
217698,210044,3
217698,224129,3
217698,432530,3
26897,104110,3
26897,104111,3
26897,11512,3
26897,11513,3
26897,11514,3
26897,11515,3
26897,210044,3
26897,224129,3
26897,432530,3
16337,16333,1
16337,16334,1
16001,16000,1
18783,14683,1
18783,104110,3
18783,104111,3
18783,11512,3
18783,11513,3
18783,11514,3
18783,11515,3
18783,210044,3
18783,224129,3
18783,432530,3
211429,14683,1
211429,104110,3
211429,104111,3
211429,11512,3
211429,11513,3
211429,11514,3
211429,11515,3
211429,210044,3
211429,224129,3
211429,432530,3
232889,14683,1
232889,104110,3
232889,104111,3
232889,11512,3
232889,11513,3
232889,11514,3
232889,11515,3
232889,210044,3
232889,224129,3
232889,432530,3
271844,14683,1
271844,104110,3
271844,104111,3
271844,11512,3
271844,11513,3
271844,11514,3
271844,11515,3
271844,210044,3
271844,224129,3
271844,432530,3
329502,14683,1
329502,104110,3
329502,104111,3
329502,11512,3
329502,11513,3
329502,11514,3
329502,11515,3
329502,210044,3
329502,224129,3
329502,432530,3
78390,14683,1
78390,104110,3
78390,104111,3
78390,11512,3
78390,11513,3
78390,11514,3
78390,11515,3
78390,210044,3
78390,224129,3
78390,432530,3
