vertex_a,vertex_b,edge
14450,14317,3
17768,14317,3
17768,14450,3
665563,14317,3
665563,14450,3
665563,17768,3
13361,14317,3
13361,14450,3
108156,14317,3
108156,14450,3
108156,17768,3
108156,665563,3
108156,13361,3
434437,14317,3
434437,14450,3
434437,17768,3
434437,665563,3
434437,13361,3
434437,108156,3
434437,100039707,3
434437,107885,3
69606,14450,3
69606,17768,3
69606,665563,3
69606,108156,3
107747,14450,3
107747,17768,3
107747,665563,3
107747,108156,3
216188,14450,3
216188,17768,3
216188,665563,3
216188,108156,3
270685,14317,3
270685,14450,3
270685,13361,3
270685,434437,3
270685,69606,3
270685,107747,3
270685,216188,3
108147,14317,3
108147,14450,3
108147,17768,3
108147,665563,3
108147,13361,3
108147,108156,3
108147,434437,3
108147,69606,3
108147,107747,3
108147,216188,3
108147,270685,3
238505,14317,3
238505,14450,3
238505,13361,3
238505,434437,3
238505,69606,3
238505,107747,3
238505,216188,3
238505,108147,3
108037,14317,3
108037,14450,3
108037,17768,3
108037,665563,3
108037,13361,3
108037,108156,3
108037,434437,3
108037,69606,3
108037,107747,3
108037,216188,3
108037,108147,3
108037,238505,3
20425,14317,3
20425,14450,3
20425,17768,3
20425,665563,3
20425,13361,3
20425,108156,3
20425,434437,3
20425,69606,3
20425,107747,3
20425,216188,3
20425,108147,3
20425,238505,3
17769,17768,3
17769,665563,3
17769,108156,3
17769,434437,3
17769,108037,3
17769,20425,3
22171,17768,3
22171,665563,3
22171,13361,3
22171,108156,3
22171,434437,3
22171,108037,3
22171,20425,3
