vertex_a,vertex_b,edge,distance
115487111,21991,3,0
14433,21991,3,0.00543478
18655,115487111,3,0.0108696
18655,14433,3,0.0163043
18663,115487111,3,0.0217391
18663,14433,3,0.0271739
18648,18655,3,0.0326087
18648,18663,3,0.0380435
56012,18655,3,0.0434782
56012,18663,3,0.048913
13806,18648,3,0.0543478
13806,56012,3,0.0597826
13807,18648,3,0.0652174
13807,56012,3,0.0706521
13808,18648,3,0.0760869
13808,56012,3,0.0815217
226265,18648,3,0.0869565
226265,56012,3,0.0923913
433182,18648,3,0.097826
433182,56012,3,0.103261
18746,13806,3,0.108696
18746,13807,3,0.11413
18746,13808,3,0.119565
18746,226265,3,0.125
18746,433182,3,0.130435
18770,13806,3,0.13587
18770,13807,3,0.141304
18770,13808,3,0.146739
18770,226265,3,0.152174
18770,433182,3,0.157609
11674,21991,3,0.163043
11674,115487111,3,0.168478
11674,14433,3,0.173913
11676,21991,3,0.179348
11676,115487111,3,0.184783
11676,14433,3,0.190217
230163,21991,3,0.195652
230163,115487111,3,0.201087
230163,14433,3,0.206522
353204,21991,3,0.211956
353204,115487111,3,0.217391
353204,14433,3,0.222826
79459,21991,3,0.228261
79459,115487111,3,0.233696
79459,14433,3,0.23913
18641,11674,3,0.244565
18641,11676,3,0.25
18641,230163,3,0.255435
18641,353204,3,0.260869
18641,79459,3,0.266304
18642,11674,3,0.271739
18642,11676,3,0.277174
18642,230163,3,0.282609
18642,353204,3,0.288043
18642,79459,3,0.293478
56421,11674,3,0.298913
56421,11676,3,0.304348
56421,230163,3,0.309782
56421,353204,3,0.315217
56421,79459,3,0.320652
21881,18641,3,0.326087
21881,18642,3,0.331522
21881,56421,3,0.336956
74419,18641,3,0.342391
74419,18642,3,0.347826
74419,56421,3,0.353261
74419,21881,3,0.358695
83553,18641,3,0.36413
83553,18642,3,0.369565
83553,56421,3,0.375
83553,21881,3,0.380435
83553,74419,3,0.385869
66646,21881,3,0.391304
66646,74419,3,0.396739
66646,83553,3,0.402174
19895,21881,3,0.407609
19895,74419,3,0.413043
19895,83553,3,0.418478
19895,66646,3,0.423913
110639,21881,3,0.429348
110639,74419,3,0.434782
110639,83553,3,0.440217
110639,19895,3,0.445652
19139,21881,3,0.451087
19139,74419,3,0.456522
19139,83553,3,0.461956
19139,19895,3,0.467391
328099,21881,3,0.472826
328099,74419,3,0.478261
328099,83553,3,0.483695
328099,19895,3,0.48913
75456,21881,3,0.494565
75456,74419,3,0.5
75456,83553,3,0.505435
75456,19895,3,0.510869
71776,108037,3,0.516304
71776,20425,3,0.521739
236539,18655,3,0.527174
236539,18663,3,0.532608
236539,18648,3,0.538043
236539,56012,3,0.543478
107272,236539,3,0.548913
100678,107272,3,0.554348
12974,14718,3,0.559782
12974,14719,3,0.565217
12974,76615,3,0.570652
71832,14718,3,0.576087
71832,14719,3,0.581521
71832,76615,3,0.586956
11428,12974,3,0.592391
11428,71832,3,0.597826
11429,12974,3,0.603261
11429,71832,3,0.608695
15926,11428,3,0.61413
15926,11429,3,0.619565
15929,11428,3,0.625
15929,11429,3,0.630434
170718,11428,3,0.635869
170718,11429,3,0.641304
243996,11428,3,0.646739
243996,11429,3,0.652174
269951,11428,3,0.657608
269951,11429,3,0.663043
67834,11428,3,0.668478
67834,11429,3,0.673913
108682,18746,3,0.679347
108682,18770,3,0.684782
108682,231691,3,0.690217
108682,257635,3,0.695652
108682,15926,3,0.701087
108682,15929,3,0.706521
108682,170718,3,0.711956
108682,243996,3,0.717391
108682,269951,3,0.722826
108682,67834,3,0.728261
76282,18746,3,0.733695
76282,18770,3,0.73913
76282,231691,3,0.744565
76282,257635,3,0.75
76282,15926,3,0.755434
76282,15929,3,0.760869
76282,170718,3,0.766304
76282,243996,3,0.771739
76282,269951,3,0.777174
76282,67834,3,0.782608
18563,18746,3,0.788043
18563,18770,3,0.793478
18563,231691,3,0.798913
18563,257635,3,0.804347
18563,108682,3,0.809782
18563,76282,3,0.815217
217214,14718,3,0.820652
217214,14719,3,0.826087
217214,76615,3,0.831521
217214,108682,3,0.836956
217214,76282,3,0.842391
18416,109652,3,0.847826
11898,18416,3,0.85326
109900,11898,3,0.858695
11846,109900,3,0.86413
11847,109900,3,0.869565
56454,14718,3,0.875
56454,14719,3,0.880434
56454,76615,3,0.885869
56454,108682,3,0.891304
56454,76282,3,0.896739
14645,14718,3,0.902173
14645,14719,3,0.907608
14645,76615,3,0.913043
14645,108682,3,0.918478
14645,76282,3,0.923913
27053,14718,3,0.929347
27053,14719,3,0.934782
27053,76615,3,0.940217
21351,21881,3,0.945652
21351,74419,3,0.951087
21351,83553,3,0.956521
108645,238505,3,0.961956
11720,238505,3,0.967391
232087,238505,3,0.972826
12411,108037,3,0.97826
12411,20425,3,0.983695
12411,100678,3,0.98913
