vertex_a,vertex_b,edge
15360,110446,3
15360,110460,3
15360,224530,3
208715,110446,3
208715,110460,3
208715,224530,3
15357,15360,3
15357,208715,3
68603,17855,3
110196,319554,3
110196,320581,3
110196,192156,3
14593,319554,3
14593,320581,3
14593,192156,3
14593,110196,3
52014,110196,3
52014,14593,3
67422,110196,3
67422,14593,3
56075,110196,3
56075,14593,3
71365,110196,3
71365,14593,3
110606,110196,3
110606,14593,3
14272,110196,3
14272,14593,3
19671,110606,3
19671,14272,3
57295,19671,3
230709,110606,3
230709,14272,3
