vertex_a,vertex_b,edge,distance
16177,16176,1,0
16178,16176,1,0.0285714
432530,14680,1,0.0571428
432530,14683,1,0.0857142
18795,14672,1,0.114286
18795,14675,1,0.142857
18795,14676,1,0.171428
18795,14682,1,0.2
18795,18750,3,0.228571
18795,18751,3,0.257143
18795,18752,3,0.285714
18796,14672,1,0.314285
18796,14675,1,0.342857
18796,14676,1,0.371428
18796,14682,1,0.4
18796,18750,3,0.428571
18796,18751,3,0.457142
18796,18752,3,0.485714
18797,14672,1,0.514285
18797,14675,1,0.542857
18797,14676,1,0.571428
18797,14682,1,0.599999
18797,18750,3,0.628571
18797,18751,3,0.657142
18797,18752,3,0.685714
18798,14672,1,0.714285
18798,14675,1,0.742856
18798,14676,1,0.771428
18798,14682,1,0.799999
18798,18750,3,0.828571
18798,18751,3,0.857142
18798,18752,3,0.885713
18747,432530,3,0.914285
18749,432530,3,0.942856
