vertex_a,vertex_b,edge
12064,18212,3
78405,18212,3
18205,18211,3
18205,18212,3
18205,18213,3
18803,18211,1
18803,18212,1
18803,18213,1
234779,18211,1
234779,18212,1
234779,18213,1
20416,18211,1
20416,18212,1
20416,18213,1
20418,18211,1
20418,18212,1
20418,18213,1
216148,18211,1
216148,18212,1
216148,18213,1
271849,18211,1
271849,18212,1
271849,18213,1
14784,18211,3
14784,18212,3
14784,18213,3
14784,20416,3
14784,20418,3
14784,216148,3
14784,271849,3
18753,18803,3
18753,234779,3
18049,18211,3
18053,12064,1
18053,78405,1
18053,18205,1
18053,18706,3
18053,18707,3
18053,18708,3
18053,18709,3
18053,18710,3
18053,74769,3
18053,18049,1
11651,18706,3
11651,18707,3
11651,18708,3
11651,18709,3
11651,18710,3
11651,74769,3
11652,18706,3
11652,18707,3
11652,18708,3
11652,18709,3
11652,18710,3
11652,74769,3
23797,18706,3
23797,18707,3
23797,18708,3
23797,18709,3
23797,18710,3
23797,74769,3
26395,18753,1
26396,18753,1
109880,15461,1
109880,16653,1
109880,18176,1
110157,15461,1
110157,16653,1
110157,18176,1
20662,14784,3
20663,14784,3
26413,26395,1
26413,26396,1
26417,26395,1
26417,26396,1
110651,26413,1
110651,26417,1
20111,26413,1
20111,26417,1
20112,26413,1
20112,26417,1
67071,26413,1
67071,26417,1
107746,12928,3
107746,12929,3
109905,107746,1
215449,107746,1
19247,18706,3
19247,18707,3
19247,18708,3
19247,18709,3
19247,18710,3
19247,74769,3
19247,14784,3
14388,18706,3
14388,18707,3
14388,18708,3
14388,18709,3
14388,18710,3
14388,74769,3
14388,20416,3
14388,20418,3
14388,216148,3
14388,271849,3
12015,11651,2
12015,11652,2
12015,23797,2
56637,11651,2
56637,11652,2
56637,23797,2
56484,11651,2
56484,11652,2
56484,23797,2
18035,11651,1
18035,11652,1
18035,23797,1
18036,11651,1
18036,11652,1
18036,23797,1
18037,11651,1
18037,11652,1
18037,23797,1
18033,18035,3
18033,18036,3
18033,18037,3
19697,18035,3
19697,18036,3
19697,18037,3
11911,110651,1
11911,20111,1
11911,20112,1
11911,67071,1
327826,18211,1
327826,12928,3
327826,12929,3
18607,18706,3
18607,18707,3
18607,18708,3
18607,18709,3
18607,18710,3
18607,74769,3
18607,11651,3
18607,11652,3
18607,23797,3
14103,56484,1
20661,18053,3
77480,18211,1
77480,12928,3
77480,12929,3
73086,26413,1
73086,26417,1
17179,18211,3
17179,18212,3
17179,18213,3
11848,18053,2
67653,18053,2
22059,26414,1
22059,26419,1
22059,26420,1
16476,26414,1
16476,26419,1
16476,26420,1
16367,18211,1
16367,18212,1
16367,18213,1
19094,15461,1
19094,16653,1
19094,18176,1
26415,15461,1
26415,16653,1
26415,18176,1
26416,15461,1
26416,16653,1
26416,18176,1
29857,15461,1
29857,16653,1
29857,18176,1
23939,23938,1
26406,15461,1
26406,16653,1
26406,18176,1
11857,18053,3
14570,18053,3
192662,18053,3
23921,18211,1
23921,18212,1
23921,18213,1
23921,14784,3
16923,18211,1
16923,18212,1
16923,18213,1
16923,14784,3
20399,18211,1
20399,18212,1
20399,18213,1
20399,14784,3
11350,18211,3
11350,18212,3
11350,18213,3
26400,26401,1
26400,26408,1
12540,18053,1
19353,18053,1
22034,18053,3
170936,18053,3
170936,22034,3
65020,18053,3
65020,22034,3
94275,18053,3
72843,18053,3
12070,18053,1
192656,18053,3
108960,18053,3
16179,18053,3
266632,18053,3
73914,18053,3
22627,12070,3
16150,22034,1
16150,108960,1
16150,16179,1
16150,266632,1
16150,73914,1
12043,11911,1
12313,18803,3
12313,234779,3
12314,18803,3
12314,234779,3
12315,18803,3
12315,234779,3
494124,18803,3
494124,234779,3
70405,18803,3
70405,234779,3
75600,18803,3
75600,234779,3
80796,18803,3
80796,234779,3
12028,22059,1
